,review,point,date,ingre,token_review
2338,선물로 구입했는데 너무좋아하네요,5,2018-09-24,프로폴리스,"['선물', '로', '구입', '했는데', '너무', '좋아하네요']"
2339,"좋은 제품, 저렴한 가격에 잘 받아보았어요 다음에도 또 구입할거에요 수고하세요 감사합니다...",5,2018-09-25,프로폴리스,"['좋은', '제품', '저렴한', '가격', '에', '잘', '받아', '보았어요', '다음', '에도', '또', '구입', '할거에요', '수고', '하세요', '감사합니다']"
2340,쓰던건데 저렴하게 삿어요,5,2018-09-26,프로폴리스,"['쓰던건데', '저렴하게', '삿', '어', '요']"
2341,촉촉하고 화장할때도 좋아요~,5,2018-09-27,프로폴리스,"['촉촉하고', '화장', '할', '때', '도', '좋아요']"
2342,좋아요. 지난번보다는 색깔이 옅어진 느낌입니다.,5,2018-09-27,프로폴리스,"['좋아요', '지난번', '보다는', '색깔', '이', '옅어진', '느낌', '입니다']"
2343,가격도 저렴하고 배송도 빠르고 좋네요,5,2018-09-27,프로폴리스,"['가격', '도', '저렴하고', '배송', '도', '빠르고', '좋네요']"
2344,전부터 주기적으로 사서쓰는 앰플이에요자극적이지않고 괜찮은거같아요,5,2018-09-28,프로폴리스,"['전', '부터', '주기', '적', '으로', '사서', '쓰는', '앰', '플', '이에요', '자극', '적', '이지', '않고', '괜찮은', '거', '같아요']"
2345,처음사용했어요 역시 소문난이유를 알겠어요,5,2018-09-29,프로폴리스,"['처음', '사용', '했어요', '역시', '소문난', '이유', '를', '알겠어요']"
2346,만족스럽습니다,4,2018-09-30,프로폴리스,['만족스럽습니다']
2347,몇통째 비우고 있는지 모르겠어요 :D 다른걸로 갈아 타보려고 했지만 결국 폴리스앰플 찾게 되네요ㅎ 더 대용량으로 나와주면 좋겠다는 생각이 간절 하답니다 ;(배송은 물량이 제때 있어줘서 빨리 받았습니다~ㅎㅎ주문을 최대 두개밖에 하지 못하게 되어 있어요..ㅠ 최저가 같아 미리 좀 더 사두려 했는데 그점 아쉽네요..ㅠ,5,2018-09-30,프로폴리스,"['몇', '통째', '비우고있는지', '모르겠어요', '다른', '걸', '로', '갈아타', '보려고', '했지만', '결국', '폴리스', '앰', '플', '찾게되', '네', '요', '더', '대', '용량', '으로나', '와주면', '좋겠다는', '생각', '이', '간절하답니다', '배송', '은', '물량', '이', '제때', '있어줘서', '빨리', '받았습니다', '주문', '을', '최대', '두', '개', '밖에', '하지못하게', '되어있어요', '최저', '가', '같아', '미리', '좀더', '사두', '려', '했는데', '그', '점', '아쉽네요']"
2348,환절기가 오고 건조해져서 구매합니다. 밤에 자르고 나면 아침에 피부가 부드러워져요.,5,2018-10-01,프로폴리스,"['환절기', '가오', '고', '건조해져서', '구매', '합니다', '밤', '에', '자르고나면', '아침', '에', '피부', '가', '부드러워져요']"
