,review,point,date,ingre,token_review
189,효과 좋구요100 쑥이여서 피부에 해롭지 않아요추천해요,5,2020-03-30,머그워트,"['효과', '좋구요', '쑥', '이', '여서', '피부', '에', '해롭지', '않아', '요추', '천해', '요']"
190,아침저녁으로 요녀석으로 관리중이에요 트러블이 진정되는느낌...,5,2020-04-11,머그워트,"['아침', '저녁', '으로', '요', '녀석', '으로', '관리', '중', '이에요', '트러블', '이', '진정', '되는', '느낌']"
191,두병째 쓰고있어요. 좋아요,5,2020-04-16,머그워트,"['두', '병', '째', '쓰고있어요', '좋아요']"
192,몇일만에 피부가 좋아졌어요,5,2020-04-25,머그워트,"['몇', '일', '만', '에피', '부가', '좋아졌어요']"
193,보습도 꽤되고 진정용으로 사용,4,2020-04-26,머그워트,"['보습', '도', '꽤', '되고', '진정', '용', '으로', '사용']"
194,좋다고삿는데...ㅎㅎㅎ잘몰겟넹...,4,2020-04-28,머그워트,"['좋다고', '삿', '는데잘', '몰겟', '넹']"
195,좋아요 좋아요좋아요좋아요좋아요,5,2020-04-28,머그워트,"['좋아요', '좋아요', '좋아요', '좋아요', '좋아요']"
196,딸아이가 필요하대서 주문했어요,4,2020-04-29,머그워트,"['딸아이', '가', '필요하', '대서', '주문', '했어요']"
197,잘쓸께요,5,2020-05-06,머그워트,['잘쓸께요']
198,아직 많이 쓰지는 않았지만 순해요.,4,2020-05-18,머그워트,"['아직', '많이', '쓰지는', '않았지만', '순해요']"
199,원래 쓰던제품인데 재구입했어요!민감피부에 참 좋습니다^^,5,2020-05-23,머그워트,"['원래', '쓰던', '제품', '인데', '재', '구입', '했어요', '민감', '피부', '에', '참', '좋습니다']"
200,잘 받았습니다. 잘 받았습니다.,3,2020-05-23,머그워트,"['잘', '받았습니다', '잘', '받았습니다']"
201,very good price and fast delivery i am generally satisfied [G마켓 안드로이드 앱에서 작성],5,2020-07-01,머그워트,"['마켓', '안드로이드', '앱', '에서', '작성']"
202,잘쓰고있어오ㅓ,5,2020-08-02,머그워트,['잘쓰고있어오']
203,환절기에 피부 붉어지거나 가끔 여드름올라올때 진정잘되서 재구매합니다. 후기좋아서 사용해봤는데 좋아요. 뾰루지올라올때 사용하면 잘 가라앉는 것 같아요.,5,2020-08-23,머그워트,"['환절기', '에', '피부', '붉어지거나', '가끔', '여드름', '올라올', '때', '진정', '잘', '되서', '재구매', '합니다', '후기', '좋아서', '사용', '해봤는데', '좋아요', '뾰', '루지', '올라올', '때', '사용', '하면잘', '가라앉는것', '같아요']"
204,트러블나서 두번쓰고 안써요 ㅠㅠ 닦토로써도 트러블 나고....저랑 그냥 안맞네요,1,2020-09-02,머그워트,"['트러블', '나', '서두', '번', '쓰고안', '써요', '닦', '토로', '써도', '트러블', '나', '고저', '랑그', '냥', '안', '맞네요']"
205,빠른배송에 감사합니다.,5,2020-09-10,머그워트,"['빠른', '배송', '에', '감사합니다']"
206,화장솜에 적셔서 팩하듯이 사용했어요. 피부가 매끄러워지는 느낌이에요. 순한것 같고 용량도 많아요!,5,2020-09-16,머그워트,"['화장', '솜', '에', '적셔', '서팩', '하', '듯이', '사용', '했어요', '피부', '가', '매끄러워지는', '느낌', '이에요', '순한것', '같고', '용량', '도', '많아요']"
207,넘좋아요 담에 또주만하겠습니다,5,2021-01-20,머그워트,"['넘', '좋아요', '담', '에', '또주', '만', '하겠습니다']"
