,나이,성별,건성,지성,모름,건조함,과잉피지,여드름,좁쌀,홍조&예민,복합성,기미&잡티,미백앰플,수분라이트,수분앰플,쑥앰플,진정앰플
352,3.0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
353,5.0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
354,2.0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1
355,5.0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
356,8.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
357,7.0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1
358,3.0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0
359,4.0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1
360,3.0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,1
361,8.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
362,4.0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1
363,4.0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1
364,4.0,0,1,0,0,1,0,0,1,1,0,1,0,0,1,0,0
365,6.0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
366,3.0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1
367,3.0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0
368,4.0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1
369,3.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
370,4.0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1
371,8.0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
372,5.0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
373,4.0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,1
374,4.0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
375,4.0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1
376,3.0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
377,5.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
378,5.0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1
379,3.0,0,0,0,0,1,1,1,1,0,1,1,0,0,0,0,1
380,5.0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1
381,8.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
382,2.0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1
383,8.0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1
384,3.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
385,5.0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
386,2.0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1
387,5.0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0
388,7.0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0
389,5.0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
390,5.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
391,2.0,0,0,1,0,0,1,1,1,0,0,1,1,0,0,0,0
392,4.0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1
393,5.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
394,4.0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1
395,3.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
396,3.0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1
397,2.0,0,1,0,0,1,1,1,1,1,0,1,0,0,1,0,0
398,4.0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1
399,2.0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,1,0
400,1.0,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,1
401,2.0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,1
402,5.0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
403,6.0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0
404,2.0,0,0,1,0,0,1,1,1,1,0,0,0,0,1,0,0
405,4.0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1
406,3.0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1
407,4.0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
408,3.0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1
409,3.0,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,1
410,3.0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1
411,3.0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1
412,4.0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1
413,3.0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
414,5.0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0
415,5.0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
416,6.0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
417,5.0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1
418,5.0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0
419,4.0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
420,5.0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
421,5.0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1
422,4.0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1
423,1.0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,1
424,4.0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1
425,2.0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0
426,2.0,0,0,1,0,1,1,1,1,1,0,1,0,0,0,0,1
427,3.0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,1
428,5.0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1
429,3.0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1
430,2.0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1
431,5.0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1
432,4.0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1
433,3.0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1
434,2.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
435,3.0,0,0,0,0,1,1,1,0,1,1,0,0,0,1,0,0
436,3.0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0
437,2.0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1
438,3.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
439,2.0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1
440,1.0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1
441,3.0,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,1
442,4.0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0
443,2.0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
444,8.0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
445,4.0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,1
446,2.0,0,0,1,0,0,1,1,0,1,0,1,0,0,0,0,1
447,8.0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1
448,6.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
449,5.0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0
450,5.0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1
451,2.0,0,0,1,0,0,1,1,1,1,0,0,0,0,1,0,0
452,2.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
453,3.0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1
454,5.0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1
455,5.0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
456,3.0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0
457,7.0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
458,5.0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
459,3.0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1
460,3.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
461,2.0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0
462,2.0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,1
463,6.0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1
464,2.0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1
465,5.0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1
466,3.0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1
467,5.0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1
468,3.0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0
469,4.0,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,1
470,3.0,0,0,1,0,1,1,0,1,1,0,1,0,0,0,0,1
471,3.0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1
472,2.0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0
473,2.0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1
474,3.0,1,0,0,1,1,1,1,1,1,0,1,0,0,0,0,1
475,3.0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,1
476,4.0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1
477,3.0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1
478,4.0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,1
479,2.0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0
480,3.0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1
481,1.0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0
482,4.0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
483,5.0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1
484,3.0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1
485,4.0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0
486,3.0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1
487,4.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
488,2.0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1
489,4.0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1
490,5.0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1
491,4.0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1
492,4.0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1
493,5.0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1
494,4.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
495,3.0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1
496,4.0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,1
497,3.0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1
498,3.0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0
499,5.0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0
500,2.0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0
501,4.0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
502,2.0,0,0,0,0,1,0,1,1,1,1,0,0,0,1,0,0
503,1.0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1
504,1.0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0
505,1.0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1
506,2.0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0
507,3.0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1
508,2.0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1
509,5.0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
510,4.0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1
511,3.0,0,0,1,0,0,1,1,1,1,0,1,0,0,0,0,1
512,4.0,0,0,0,0,1,1,0,1,1,1,1,0,0,1,0,0
513,4.0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1
514,5.0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1
515,4.0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
516,4.0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1
517,4.0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1
518,3.0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1
519,3.0,0,0,0,0,1,1,1,1,0,1,0,0,0,1,0,0
520,2.0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1
521,4.0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
522,4.0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0
523,4.0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1
524,4.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
525,2.0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1
526,2.0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1
527,4.0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1
528,3.0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1
529,6.0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1
530,1.0,0,0,1,0,0,1,1,1,1,0,1,0,0,0,0,1
531,8.0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1
532,3.0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1
533,4.0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1
534,5.0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1
535,3.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
536,4.0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0
537,3.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
538,3.0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1
539,3.0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,1
540,5.0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
541,3.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
542,3.0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1
543,2.0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1
544,3.0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0
545,4.0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0
546,4.0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1
547,5.0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1
548,4.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
549,4.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
550,3.0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,1
551,3.0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1
552,3.0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0
553,2.0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
554,4.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
555,4.0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1
556,5.0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1
557,4.0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
558,5.0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1
559,4.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
560,3.0,0,0,1,0,0,1,1,1,0,0,0,0,0,1,0,0
561,3.0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1
562,5.0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1
563,3.0,0,0,0,0,1,1,1,1,0,1,1,0,0,0,0,1
564,3.0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1
565,3.0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1
566,4.0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1
567,6.0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
568,4.0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1
569,3.0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1
570,3.0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,1
571,3.0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1
572,4.0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,1
573,3.0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1
574,6.0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0
575,3.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
576,4.0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
577,2.0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1
578,3.0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1
579,3.0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,1,0
580,5.0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1
581,4.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
582,2.0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1
583,1.0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1
584,3.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
585,2.0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
586,3.0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0
587,3.0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1
588,3.0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1
589,4.0,0,0,0,0,1,1,0,1,1,1,0,0,0,1,0,0
590,4.0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1
591,3.0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,1
592,4.0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,1
593,2.0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1
594,3.0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,1
595,1.0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0
596,3.0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1
597,4.0,0,0,0,0,1,0,1,0,1,1,1,0,0,1,0,0
598,3.0,0,0,0,0,1,0,0,1,1,1,1,0,0,1,0,0
599,3.0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1
600,4.0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,1
601,3.0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1
602,5.0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0
603,3.0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0
604,3.0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1
605,4.0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1
606,2.0,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,1
607,4.0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1
608,2.0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,1
609,3.0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0
610,3.0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1
611,4.0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1
612,3.0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,1
613,6.0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0
614,2.0,1,0,1,0,0,1,1,1,1,0,0,0,0,0,0,1
615,6.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
616,8.0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
617,3.0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1
618,3.0,1,0,1,0,1,1,1,1,1,0,1,0,0,0,0,1
619,5.0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
620,3.0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,1
621,8.0,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,1
622,4.0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
623,5.0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1
624,5.0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1
625,5.0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,1
626,5.0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1
627,4.0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0
628,4.0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1
629,4.0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1
630,3.0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1
631,3.0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0
632,4.0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1
633,4.0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1
634,3.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
635,5.0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0
636,1.0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1
637,5.0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1
638,4.0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
639,4.0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1
640,2.0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
641,3.0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1
642,2.0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1
643,2.0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1
644,3.0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0
645,4.0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,1
646,5.0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1
647,2.0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1
648,3.0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,1
649,5.0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
650,5.0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1
651,1.0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1
652,2.0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1
653,5.0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
654,3.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
655,4.0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1
656,3.0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1
657,3.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
658,2.0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0
659,3.0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1
660,3.0,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,1
661,4.0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,1
662,2.0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,1
663,3.0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1
664,3.0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1
665,3.0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0
666,3.0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0
667,4.0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0
668,2.0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,1
669,3.0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0
670,2.0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
671,7.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
672,8.0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1
673,3.0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1
674,4.0,0,1,0,0,1,1,1,1,1,0,1,0,0,0,0,1
675,2.0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1
676,4.0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1
677,3.0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1
678,3.0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
679,4.0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0
680,2.0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1
681,2.0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1
682,3.0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0
683,4.0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
684,3.0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1
685,2.0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1
686,2.0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
687,4.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
688,3.0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
689,3.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
690,2.0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1
691,4.0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,1
692,2.0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1
693,3.0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
694,3.0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1
695,3.0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1
696,3.0,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,1
697,3.0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0
698,5.0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0
699,4.0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1
700,4.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
701,2.0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1
702,4.0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,0
703,4.0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1
704,4.0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1
705,4.0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
706,2.0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,1
707,2.0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1
708,2.0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1
709,3.0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1
710,2.0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,1
711,4.0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0
712,3.0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1
713,5.0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0
714,1.0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1
715,3.0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
716,3.0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1
717,2.0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0
