,content,date,like,place,tags
0,_울 블랑님들 🤍꿀타민 잘 사용하고 계신가요? 꿀타민 잘 사용하시는 분들은 꼭 물어봐 주시는닥터비타 #광앰플 이번주 일요일 저녁 10시 찾아 뵐게요 😍요 앰플은 진짜 제가 별다른 설명을 안해도이미 #티암 #꿀타민 과 함께 써보신분들은너무 만족하셔서 입소문난 제품이에요! 너무 건조해서꿀타민으로도 속건조가 잡히지 않으셨거나 그냥 광이아닌 쫀쫀하고 피부속에서 올라오는광을 오래 유지하고 싶으신 블랑님들께 무조건 강추! 2ml의 자그만한 앰플에고농축으로 압축이 되어서피부에 딱 바르면 금방 흡수는 물론피부에 즉각적으로 수분이 채워져금새 피부광이 번쩍 번쩍 보여요 ✨그러나 기름지거나유분기 도는 인위적인 광이 아닌즉각적 수분을 채워주는 작지만 강한 앰플이번주 일요일 또한번 피부가 좋아지는 시간을선물할게요! 일요일 밤 10시 만나요!,2021-01-28,"1,750",,"['#광앰플', '#티암', '#꿀타민']"
1,"수개월 고심끝에 드디어 테스트 막바지!🙈🙈 찰떡같이 피부에 촥 달라붙어 쫀쫀해지는 이 느낌 뭐냐며,,, 찰떡으로 애칭 지어줘야 할까봐요?🤔🤔 딱 기다리세요 크크😉😉 #에이프렙#aprep#수분앰플#수분크림#백년초앰플#백년초크림",2021-02-07,146,,"['#에이프렙', '#aprep', '#수분앰플', '#수분크림', '#백년초앰플', '#백년초크림']"
2,"#협찬 ✏️Hydra: 남극의 추위를 견뎌낸 수분 발표 미생물, 수도알테로모나스 발효추출물 성분으로 건조하고 당기는 피부에 즉각적으로 수분을 공급해 촉촉하고 밸런스 있는 피부로 가꾸어주는 수분 집중 앰플! 수분을 가득 머금은 반투명 에센스 타입의 텍스처라서 요즘 같이 건조한 날씨에 딱이에요! 제일 제가 추천하는 앰플이에요!✏️Calming: 민감, 예민한 피부를 잠재우는 감초뿌리가루 성분으로 피부를 즉각 진정시키고 균형을 잡아주는 동시에 거친 피부를 촉촉하고 청정하게 가꾸는 진정 앰플! 감초 빛을 띄는 연노랑 에센스 타입의 텍스처로 듬뿍 바르고 자면 아침에 확실히 진정된 피부를 경험하실게요✏️Pore: 모공 처짐의 원인인 활성산소로부터 피부를 보호하는 황벽나무껍질추출물 성분이 각질 피지 케어를 통해 모공수렴을 도와 매끈쫀쫀 피부로 가꾸어주는 모공 앰플! 촉촉하게 피부에 스며드는 백색 에멀젼 타입의 텍스처라서 평소에 손이 자주 가는 앰플!✏️VitaminC: 멜라닌 생성을 억제하는 비타민 C 유도체와 미백 기능성 성분 아이아신아마이드 성분이 잡티를 케어해 화사한 피부로 가꾸어주는 미백 앰플! 비타민이 가득한 투명 에센스 타입의 텍스처라 이 앰플이 가장 인기가 많을 것 같아요✏️Propolis: 프로폴리스와 꿀추출물 성분이 함유되어 피부에 영양을 부여하고 미백 기능성 성분 나이아신아마이드, 주름 개선 기능성 성분아데노신으로 탄력과 화사함을 되찾아주는 영양 앰플! 영양 가득 고농축 반투명 세럼 타입의 텍스처! 🎁이 5가지의 다양한 세럼이 가성비 좋은 굉장히 저렴한 가격으로 출시되었다고 해요!🎁게다가 가격은 저렴하지만 성분은 걱정할 거 없이 아주아주 좋다는 것!❗️현재 할인 이벤트 중이니 좋은 기회 놓치지 마세요❗️16000원→4000원#포마랩 #웰릭 #앰플 #앰플추천 #미백앰플 #비타민앰플 #수분앰플 #보습앰플 #물광앰플 #수분앰플추천 #미백앰플추천#비타민C앰플#화이트닝앰플#진정앰플#비타민씨앰플#비타C앰플#진정앰플 #인플루언서 #followforfollowback #좋반 #좋아요 #좋아요테러 #첫줄좋반 #첫줄반사 #선팔하면맞팔 #맞팔100 #카페투어 #패션스타그램 #오늘뭐입지",2021-03-07,281,,"['#협찬', '#포마랩', '#웰릭', '#앰플', '#앰플추천', '#미백앰플', '#비타민앰플', '#수분앰플', '#보습앰플', '#물광앰플', '#수분앰플추천', '#미백앰플추천', '#비타민C앰플', '#화이트닝앰플', '#진정앰플', '#비타민씨앰플', '#비타C앰플', '#진정앰플', '#인플루언서', '#followforfollowback', '#좋반', '#좋아요', '#좋아요테러', '#첫줄좋반', '#첫줄반사', '#선팔하면맞팔', '#맞팔100', '#카페투어', '#패션스타그램', '#오늘뭐입지']"
3,#LIIZ#moredeep#moisture 🧪 @uptownliiz 오트 이너프 워터로 스킨팩 후 수분진정앰플 듬뿍 흡수시켜주기 :) 끈적이거나 밀리지 않아 저는 데이/나이트 모두 사용하고 있어요. 이번주 수요일 pre-order open + 라이브방송으로 만나요 ! 🤍🤍,2021-03-07,0,,"['#LIIZ', '#moredeep', '#moisture']"
4,"[나인원스토어X듀에보로즈앰플] 2차공구 오픈!!공구기간 : 3/4(목)-7(일)요즘 따뜻해지는듯..추워지는 날씨😭이럴때 피부장벽에 힘써주셔야해요!!수분과 보습감으로 피부장벽 튼튼하게 해주기👍🏻기존 10ml씩 5개 들어있던 병앰플에서50ml 한 병+주사기3개입으로 리뉴얼되었습니다!기존에 불편하셨던 분들! 더 편하고 넉넉하게 사용하실 수 있게 되었어요😙[듀에보 로즈앰플 체크하기] ✅로즈워터&오일 투페이스로 구성✅정제수 NO!(0%) ✅끈적임 NO! 오일리 NO!✅장미추출물 69.55%(장미 추출물의 함유로 진정 및 수분 공급작용이 뛰어나요!)✅속건조, 좁쌀여드릅 잡기✅자연광&피부결🔳영상 및 정보들은 블로그에 리뷰해놨어요!계속해서 업데이트 예정입니다💕",2021-03-04,280,,[]
5,#광고🤍닥터리 플라워 모이스처 앰플 @drleecosmetic_official 요즘 데일리로 잘 사용중인 제품인데 패키징도 예쁘고 이름도 예뻐서 쓸때마다 기분 좋아진당ㅎㅎ 피부과 에스테틱에서도 사용한다는데 수분량 가득한 고농축앰플·ᴗ· 에델바이스꽃 추출물 베이스로 상하고 예민해진 피부 수분 관리 가능#닥터리코스메틱#피부과화장품#더마코스메틱#홈케어#모이스처#수분앰플#수분앰플추천#moisture#히알루론산#수분에센스#수분세럼#수분충전#수분공급#약산성#저자극화장품#화장품추천,2021-03-05,137,,"['#광고🤍닥터리', '#닥터리코스메틱', '#피부과화장품', '#더마코스메틱', '#홈케어', '#모이스처', '#수분앰플', '#수분앰플추천', '#moisture', '#히알루론산', '#수분에센스', '#수분세럼', '#수분충전', '#수분공급', '#약산성', '#저자극화장품', '#화장품추천']"
6,"⠀푸석 푸석 거친 피부 저만 고민인가요~⠀마스크와 환절기에 지친 피부 관리가 고민이라면투명하고 맑은 피부 톤으로 만들어줄비피다를 사용해 보시는 걸 추천드릴게요.⠀바르는 유산균! 비피다는 피부에 유익한 유산균 영양이 풍부하게 공급되어피부 면역력 관리에 도움이 되는 성분이에요.⠀◽️유해 환경으로 약해진 피부◽️수분과 영양이 한 번에 필요한 피부◽️생기와 탄력이 필요한 피부▪️매일 아침저녁 토너, 스킨처럼 사용▪️화장솜에 적셔 팩으로 사용약해지고 거칠어진 피부 장벽을 튼튼하고 건강하게 관리해주세요.⠀환절기에도 촉촉하고 맑은 피부 톤 누구보다 윤기나는 피부 결 절대 놓치지 않을 거예요🤙🏻_#원씽 #onething#원씽비피다원액",2021-03-05,400,,"['#원씽', '#onething', '#원씽비피다원액']"
7,"#광고 #나인위시스 🦋기존 앰플도 좋았는데 업그레이되어 돌아온하이드라앰플2세대는 성분도 용량도 up up!피부 수분 진정 장벽에 도움을 주는 성분과용량도 30ml로 업그레이드 되었답니다 •• 출시하자마자 올리브영1위,2020 올리브영 어워즈 수상하고심수련앰플로 이미 유명한 앰플✨건조한 제 피부를 속부터 촉촉하게 만들어주는나인위시스 하이드라앰플2세대 추천해요🦋🤍단 7일 올영세일 (3/2~3/8) 동안만!20%+20% 단독특가로 만나보세요 •• #하이드라앰플2세대 #나인위시스수분앰플",2021-03-03,"1,179",,"['#광고', '#나인위시스', '#하이드라앰플2세대', '#나인위시스수분앰플']"
8,"#광고예전부터 제 기초라인의 필수템 #나인위시스 에서 기존 1세대보다 더 좋은 2세대 수분앰플이 출시되었어요👏🏻-이미 수분기초라인에 탑 제품이라,나오자마자 올리브영 1위로 어워즈수상까지 증명된 앰플 끝판왕이예요,-화장하면 코,입주변이 자주 들뜨는 분들은 꼭 사용해보시길 추천드려요,피부에 좋은 코코넛수,바이오틱스,8종 히알루론산으로 피부에 좋은 성분들로만 구성되서 제품력 최고..🤫❤️-펜트하우스 심수련앰플로 유명해더 궁금했는데 써보니 딱 알겠더라구요🥰저처럼 관심있으셨던 분들한테 꿀팁!3/2~3/8 딱 7일 동안만 올영특가로 만나볼 수 있다고해용무려 20%+추가20%까지 저렴한 가격에 만나보셔용..#좋아요반사 #좋아요 #daily #셀카 #셀스타그램 #얼스타그램 #셀피 #데일리 #selstagram #selca #selfie #데일리코디 #셀스타 #일상 #몸매 #ootd #나인위시스 #하이드라앰플2세대 #나인위시스수분앰플 #수분앰플 #2세대수분앰플 #정인선 #심수련앰플 #올리브영세일 #올영세일 #올리브영추천템 #AD #유료협찬",2021-03-02,"1,090",9wishes_official과(와) 함께하는 협찬 광고입니다,"['#광고예전부터', '#나인위시스', '#좋아요반사', '#좋아요', '#daily', '#셀카', '#셀스타그램', '#얼스타그램', '#셀피', '#데일리', '#selstagram', '#selca', '#selfie', '#데일리코디', '#셀스타', '#일상', '#몸매', '#ootd', '#나인위시스', '#하이드라앰플2세대', '#나인위시스수분앰플', '#수분앰플', '#2세대수분앰플', '#정인선', '#심수련앰플', '#올리브영세일', '#올영세일', '#올리브영추천템', '#AD', '#유료협찬']"
9,"#리그램 - @hm_p0108 by @get_multi_repost끈적임도 없고, 잔주름 개선도 가능한 앰플🥰요즘 마스크때문에 트러블도 많았는데안심하고쓰는 #믿쓰템 😯블루라이트 차단 기능까지 ❤..@anotherrelief#어나더릴리프 #장벽강화 #수분앰플#비건 #crueltyfree #anotherrelief #anotherrelief335ampoule #펩타이드앰플 #에센스 #세럼 #뷰티 #코덕 #antique #antiaging #antioxidants #beauty #멍스타그램 #bluelightprotection #노화방지 #신상 #마스크피부트러블",2021-03-08,4,"Seoul, Korea","['#리그램', '#믿쓰템', '#어나더릴리프', '#장벽강화', '#수분앰플', '#비건', '#crueltyfree', '#anotherrelief', '#anotherrelief335ampoule', '#펩타이드앰플', '#에센스', '#세럼', '#뷰티', '#코덕', '#antique', '#antiaging', '#antioxidants', '#beauty', '#멍스타그램', '#bluelightprotection', '#노화방지', '#신상', '#마스크피부트러블']"
