,content,date,like,place,tags
0,"#광고 , #나인위시스🛒. pH캄 아이스 크림 + 캄 앰플 세럼앰플 맛집 @9wishes_official 신제품✨피부 진정과 쿨링을 한번에 #pH캄아이스크림진정 앰플 한 통을 아낌없이 담은 크림에는병풀추출물 함유율이 무려 68%피부 쿨링과 진정을 도와준다는 ""Herb COOL"" 성분까지 야무져💖병풀잎수 55% + 병풀추추물 20% 함유한 줄만으로 설명이 충분한 ""캄 앰플 세럼""피부 #진정케어 월동 준비 끝!___________________________________- #약산성진정크림 #진정크림 #진정앰플#진정크림추천 #수분크림추천 #AD",2021-01-14,251,,"['#광고', '#나인위시스🛒.', '#pH캄아이스크림진정', '#진정케어', '#약산성진정크림', '#진정크림', '#진정앰플', '#진정크림추천', '#수분크림추천', '#AD']"
1,"#협찬스피루리나 앰플&크림을 사용해보았는데바르는 순간부터 너무 쫀쫀촉촉하고 또 발림성도 순하고부드러워서 좋았어요!!!스피룰리나 추출물 75.4%나 들어가있어서 빠른 수분충전과 진정, 항상화 효과까지 뛰어난제품이에요 :) ♥️메이크업 전 기초로 사용해주면 촉촉한 물광피부 완성 🤭#미미엘 #스피루리나크림 #스피루리나앰플 #스피루리나 #재생크림 #수분크림 #피부보습 #항산화 #피부탄력 #진정앰플 #민감성피부",2021-02-09,"1,453","Ulsan, South Korea","['#협찬스피루리나', '#미미엘', '#스피루리나크림', '#스피루리나앰플', '#스피루리나', '#재생크림', '#수분크림', '#피부보습', '#항산화', '#피부탄력', '#진정앰플', '#민감성피부']"
2,"#유료광고요즘 마스크를 쓰고 나갔다가 다시 실내에 들어와서 마스크를 벗었을 때, 건조하고 푸석해진 피부 때문에화장이 뜬 모습이 너무 속상하더라구요ㅠ그래서 이번에 사용하게 된 라네즈의 겨울 꿀조합 제품들!그 중 제일 먼저 소개해드리고 싶은 제품은 크림 스킨인데요😊제품명 그대로 진짜 고점도의 크림 한통을 그대로 스킨에 녹여 뛰어난 보습력으로 피부 장벽을 강화시켜 줍니다👏무엇보다 제가 진짜 피부가 예민해서 새로운 스킨케어 제품을 잘 쓰지 못하는데,라네즈 크림 스킨은 20가지 주의성분 무첨가여서 그런지 제 피부에도 무난히 잘 맞았어요!그리고 시카보다 진정 효과가 뛰어나다는 피토알렉신 성분이 들어간 수분진정 앰플은 건조한 겨울철로 인해 한껏 민감해지고 무너진 피부 장벽을 속부터 케어해준다는 느낌을 받았어요.(+ 깊은 피부 진정을 위해 자기 전엔 스킨팩으로도 활용 중!!)그리고 마지막으로 래디언씨 크림은 저자극 비타민 크림으로, 잡티 개선은 물론 피부 미백효과까지 느낄 수 있다하여 개인적으로 제일 열심히 바르고 있는 중 이예요!😳아, 크림스킨은 가까운 올리브영 매장 및 올리브영몰에서 만나 보실 수 있는데, 2월 한달간은 크림 스킨 본품에 본품 1/3 용량의 샘플 & 래디언씨 크림 샘플 파우치가 들어있는전용 스마일 키트를 20% 할인가에 구매하실 수 있다네요?!!!✨관심 있으신 분들은 한 번 테스트 해보실 겸 구경가시면 좋을 것 같습니다❤...#라네즈 #크림스킨 #라네즈크림스킨 #보습킵스마일킵 #올리브영추천템 #올리브영토너 #올리브영스킨#겨울필수템 #피토알렉신앰플 #래디언씨크림 #진정앰플 #앰플추천 #비타민크림 #올영크림추천 @laneige_kr",2021-02-09,"2,750",,"['#유료광고요즘', '#라네즈', '#크림스킨', '#라네즈크림스킨', '#보습킵스마일킵', '#올리브영추천템', '#올리브영토너', '#올리브영스킨', '#겨울필수템', '#피토알렉신앰플', '#래디언씨크림', '#진정앰플', '#앰플추천', '#비타민크림', '#올영크림추천']"
3,🌙로우퀘스트 구매하신분들 모두화장품 잘 사용하구 계신가용?ㅎㅎㅎ오늘부터 또 추워지기 시작했어여🥶이렇게 추운날씨엔 피부온도변화가 심해져서더 예민해질 수 밖에 없는데우리 로퀘 진정앰플이 빠르게 피부를 진정시켜주고보습관리까지 도와줄테니 걱정마세요❤️진짜 얼굴 붉은기가 너무 좋아졌어요완전 요물.....🥰이번겨울은 로퀘로 건강하게 피부관리 하세요🧏🏻‍♀️#피부관리#피부진정크림#진정앰플#로우퀘스트#효과짱#홈케어#꿀피부만들기#상담실장문소라#셀피#뷰티일상,2021-01-29,537,,"['#피부관리', '#피부진정크림', '#진정앰플', '#로우퀘스트', '#효과짱', '#홈케어', '#꿀피부만들기', '#상담실장문소라', '#셀피', '#뷰티일상']"
4,"#광고 추운겨울 피부 진정&보습은성분 천재 아이소이가 만든 자연유래더마 시카고 #귀신앰플 💚점점 아이소이에 빠져들고있는 요즘!이렇게 좋은 제품을 왜 이제 알았나 싶어요!성분은 두말 할 것 없고,산뜻한 마무리에 촉촉함까지 ㅠㅠ요즘 민감한 피부는 딱 이 조합으로급속 진정시키고 있어요요즘처럼 마스크 피부트러블로 고생하는 분들겨울철 쉽게 달아오르는 열감에 대한 피부고민많으신 분들! 진심으로 추천드려요!!!미스트와 크림과 함께 사용하면 더욱 좋아요_#ISOI #피부진정 #피부장벽개선 #앰플추천 #진정앰플 #시카앰플 #트러블진정 #클린뷰티 #아이소이귀신앰플 #뷰티스타그램 #뷰스타그램",2021-01-12,"2,174",,"['#광고', '#귀신앰플', '#ISOI', '#피부진정', '#피부장벽개선', '#앰플추천', '#진정앰플', '#시카앰플', '#트러블진정', '#클린뷰티', '#아이소이귀신앰플', '#뷰티스타그램', '#뷰스타그램']"
5,#LIIZ#moredeep#moisture 🧪 @uptownliiz 오트 이너프 워터로 스킨팩 후 수분진정앰플 듬뿍 흡수시켜주기 :) 끈적이거나 밀리지 않아 저는 데이/나이트 모두 사용하고 있어요. 이번주 수요일 pre-order open + 라이브방송으로 만나요 ! 🤍🤍,2021-03-07,0,,"['#LIIZ', '#moredeep', '#moisture']"
6,#유료광고 제가 지금 내려와 있는 시골은 너무 춥고 건조해서 평소 잘 쓰고 있는 #라네즈크림스킨 챙겨왔어요🥛 크림 한 통을 스킨에 담아서인지 보습력이 정말 좋더라고요! 20가지 주의 성분도 없고 특히 무향 저자극이라 피부도 아주 편-안 해요🧏🏻‍♀️🤍​아 그리고 크림 스킨이랑 함께 쓰기 좋은 #피토알렉신앰플 이랑 #래디언씨크림 도 함께 챙겨왔어요🤞🏻 시카보다 진정 효과가 더 좋은 피토알렉신이랑 피부 톤을 환하게 밝혀주는 비타민 크림으로 서울 올라가기 전에 열심히 피부 관리 중!🍋 요렇게 3가지 #겨울필수템 꿀 조합이에요🍯 순서는 앰플>스킨>크림!크림 스킨은 2월 동안 올리브영 매장이랑 온라인 몰에서 스마일 키트로 20% 저렴하게 만날 수 있다네요🥳​#라네즈 #크림스킨 #보습킵스마일킵 #올리브영추천템 #올리브영토너 #올리브영스킨 #진정앰플 #앰플추천 #비타민크림 #올영크림추천,2021-02-09,"1,294",,"['#유료광고', '#라네즈크림스킨', '#피토알렉신앰플', '#래디언씨크림', '#겨울필수템', '#라네즈', '#크림스킨', '#보습킵스마일킵', '#올리브영추천템', '#올리브영토너', '#올리브영스킨', '#진정앰플', '#앰플추천', '#비타민크림', '#올영크림추천']"
7,"#유료광고 스피루리나 추출물로 빠른 수분 충전과, 민감한 피부에도 자극 없는 제품인 '미미엘 스피루리나 솔루션 앰플&크림' 🤍 Q. 스피루리나는 무엇인가요?A. 바다의 영양창고로 70%에 달하는 슈퍼  고단백질과 필수 5대 영양분을 포함한 생물 입니다! 고농축이지만 끈적임 없는 텍스쳐로 피부에 빠르게 흡수되며, 자극받은 피부 진정효과에 최고. 피부자극 임상 테스트 완료되어 안심하고 바르셔도 됩니다! #미미엘#스피루리나크림#스피루리나앰플#스피루리나#재생크림#수분크림#피부보습#항산화#피부탄력#진정앰플#민감성피부",2021-02-08,"1,000","Seoul, Korea","['#유료광고', '#미미엘', '#스피루리나크림', '#스피루리나앰플', '#스피루리나', '#재생크림', '#수분크림', '#피부보습', '#항산화', '#피부탄력', '#진정앰플', '#민감성피부']"
8,".#followevent #팔로우이벤트 피부 겉은 번들거리고, 속은 건조한 계절이 돌아왔다🌷환절기피부로 고생했던 분들을 위한 일명 수분진정앰플, 히아솔브 앰플을 추첨을 통해 무려 5분께 드립니다!!피부에 롤링할수록 수분감이 팡팡!💙외부 자극, 스트레스로 인해 자극 받은 피부를 진정시켜 편안하게~릴렉스~☺️환절기 피부를 예방하고 싶다면, 키네프 팔로우 이벤트 참여해서 앰플 본품받아가세요!🎁▫️참여방법▫️✔️ @kineff.official 계정 팔로우+본게시물 좋아요+참여완료 댓글 남기기✔️이벤트 기간: 2월19일(금)~2월28일(일)✔️당첨자 발표: 3월 2일(화)댓글 작성 시 친구 태그하면 당첨 확률 🆙 많은 참여해 주세요 :)#이벤트 #히아솔브앰플 #팔로우",2021-02-19,193,,"['#followevent', '#팔로우이벤트', '#이벤트', '#히아솔브앰플', '#팔로우']"
9,"・・・피부속까지 건조함이 느껴지는 계절 🌱..수분크림을 몇번씩 레이어드해서 발라주어도마른 피부는 좀처럼 돌아오질 않았는데,#키네프 #수분앰플 사용하고는 속부터 차오르는 수분감이 굳..끈적임 없이 산뜻한 무향이라만족하며 잘 쓰고 있다는.#15그램 #15그램뷰티 #15그래머 #키네프 #kineff #히아솔브앰플 #수분진정 #수분앰플 #진정앰플 #롤링수분업 #앰플추천 #코덕 #팔로우이벤트 @kineff.official",2021-03-09,4,,"['#키네프', '#수분앰플', '#15그램', '#15그램뷰티', '#15그래머', '#키네프', '#kineff', '#히아솔브앰플', '#수분진정', '#수분앰플', '#진정앰플', '#롤링수분업', '#앰플추천', '#코덕', '#팔로우이벤트']"
