,content,date,like,place,tags
0,#유료광고어느덧 두병째 사용중인 블랙티앰플☕️쫀쫀광 표현엔 이만한 앰플이 없다며••♥️제 광 보이시나요 희희 ✨제형 자체가 쫀쫀한 편에 흡수력이 좋아서 부담없이 바르기 좋구요전반적인 피부결과 윤기에 좋은 앰플인듯해용!2/17부터 5일간 이니스프리 2월 빅세일 기간 동안온라인 한정 수량 + 30% 할인가로 블랙티앰플 50ml 대용량 버전을만나보실 수 있다고 하니까 요거 잘 쓰시는 분들 참고해서 쟁여두시와요~!빅세일 첫 날인 17일 하루동안만 T멤버십 20% 추가할인도 적용된다구해요!#이니스프리 #블랙티앰플#항산화앰플 #블랙티유스인핸싱앰플 #이니스프리블랙티#가성비앰플 #앰플추천 #에센스추천 #세럼추천,2021-02-17,"2,491",,"['#유료광고어느덧', '#이니스프리', '#블랙티앰플', '#항산화앰플', '#블랙티유스인핸싱앰플', '#이니스프리블랙티', '#가성비앰플', '#앰플추천', '#에센스추천', '#세럼추천']"
1,"@mintfactory_official X @hipazizi_official 💚사/초/생 메이크업을 부.탁.해💜민트팩토리와 린지가 함께하는 #사회초년생 분들을 위한 할인 프로모션을 진행중입니다!🤗민트팩토리의 #워터리쉬베이시스앰플 과#원드롭셋업파운데이션 으로 #스킨케어 와 #베이스 를 빠르고 간편하게,히파지지의 #나이스투밋매트 립스틱으로 립 메이크업과 치크 메이크업까지!!사회초년생들을 위한 자연스러우면서도 나의 장점을 극대화시킬 수 있는 출근용 #데일리메이크업 ! ❣️히터뿜뿜하는 건조한 사무실 속에서도화장 후 바로 마스크를 껴야하는 코로나시대에도빠르고 간편하게 대충 쓱쓱 발라도 예쁜피부를 만들어주는 #민트앰플 과 #민트파데치크, 립 이것저것 색 조합하기 바쁜 아침히파지지의 #매트립스틱 으로 립과 치크, 그라데이션립까지 한번에 끝내세요!특히 #마스크프루프 메이크업이 중요해진 요즘 민트팩토리의 앰플과 파데 루틴은 마스크 묻어나옴이 정말 적은 제품이라 코로나 시대에 정말 잘 맞는 제품이랍니다!히파지지 립스틱 또한 매트하고 파우더리한 피니쉬로,립스틱을 바르고 티슈로 음빠 음빠 해주시면 마스크 묻어나옴이 적은편이니 요 팁들 여러분들도 한번 해보시면 좋을 것 같아요!!!사초생분들 뿐만아니라대학교를 들어가시는 #새내기 분들까지도요 조합 강추 드립니다요>_<!!!민트팩토리와 히파지지의 #콜라보 할인 이벤트는 #유어브랜드 공식홈페이지에서 만나요!💕#민팩파데 #민팩베이스 #사초생 #출근메이크업 #새내기메이크업 #파운데이션추천 #파데추천 #수분앰플추천 #앰플추천 #립스틱추천 #매트립스틱추천",2021-02-21,"1,806",,"['#사회초년생', '#워터리쉬베이시스앰플', '#원드롭셋업파운데이션', '#스킨케어', '#베이스', '#나이스투밋매트', '#데일리메이크업', '#민트앰플', '#민트파데치크', '#매트립스틱', '#마스크프루프', '#새내기', '#콜라보', '#유어브랜드', '#민팩파데', '#민팩베이스', '#사초생', '#출근메이크업', '#새내기메이크업', '#파운데이션추천', '#파데추천', '#수분앰플추천', '#앰플추천', '#립스틱추천', '#매트립스틱추천']"
2,"#제품협찬 #ad열무 덕분에 메디페르 @medifer_official 에서 넘나 좋은 뷰티 제품들을 선물받았어요!👏🏻메디페르 루테인 앰플은 비타민C보다 우수한 항산화력으로 안티에이징, 안면리프팅, 피부장벽강화에 도움을 준답니다👍🏻안국 루테인 콤플렉스가 48% 함유되어있고 공인된 임상기관 테스트로 검증된 제품이에요.사용해보니 앰플은 잘 흡수되고 피부에 자극적이지않아 좋았고요.촉촉함이 오래 유지되 피부당김이 덜했어요.함께 온 스분크림도 쫀쫀한 텍스쳐로 발림성도 좋고요.너무 리치하지않아 가볍게 바를수있었어요! 꾸준히 사용해 피부나이 회춘해보겠습니당🙋🏻‍♀️🧡🧡🧡#안국약품 #안국약품화장품 #메디페르 #루테인앰플 #루테인크림 #안티에이징앰플 #오렌지앰플 #무자극화장품 #에센스추천 #앰플추천",2021-03-06,"2,045",,"['#제품협찬', '#ad열무', '#안국약품', '#안국약품화장품', '#메디페르', '#루테인앰플', '#루테인크림', '#안티에이징앰플', '#오렌지앰플', '#무자극화장품', '#에센스추천', '#앰플추천']"
3,"#공감글귀 😐😐열정만 가지고는 살 수 없다. 이성적인 판단을 내리고 추진력으로써 열정을 사용하라. 열정보다 이성이 앞서야 한다. 요즘 너무 감정적이라 찾아온 슬럼프,박차라고 우연히 발견한 글귀.#감정조절 #필수적",2021-03-06,350,,"['#공감글귀', '#감정조절', '#필수적']"
4,#광고 허스텔러의 베스트셀러인 #리틀드롭스 #글로우시럽 - ♡ 쫀득한 꿀광 시럽 텍스쳐로 쫀쫀한 보습막을 형성해주어요. 저녁에 듬뿍- 발라 수면팩처럼 사용해주니 다음날 촉촉함이 확실히 달랐어요! 건성인 저에겐 완전 인생템..ㅎㅎ 요즘같이 건조한 계절에 진심 추천드려요 ♡ ♡ ♡ #보습앰플 #비건앰플 #앰플추천,2021-03-03,"1,201",,"['#광고', '#리틀드롭스', '#글로우시럽', '#보습앰플', '#비건앰플', '#앰플추천']"
5,"#유료광고제 피드에서 자주 보여드렸던 블랙티앰플벌써 4병째 사용중이에요!1번 사용만으로도 피부가 좋아지는걸 느낀뒤로정말 꾸준히 사용중인데, 피부가 쫀쫀탱탱 해지는 느낌!특히 자기전에 블랙티 앰플을 발라주고 자면다음날 피부도 보들보들해지고하루종일 피부가 건강해보이면서 자연스런 윤기까지!2/17일부터 오늘부터 단 5일간의 빅세일기간동안블랙티앰플 대용량 사이즈를 30% 할인가에 만나볼수있다고해요!저두 대용량 사이즈 쟁여두러갑니다! 꼭 써보세욤! 찐 추천ಇ특히 2/17 단 하루! 오늘 T멤버십 추가 20% 할인도 된다고합니다!#이니스프리 #블랙티앰플#항산화앰플 #블랙티유스인핸싱앰플 #이니스프리블랙티#가성비앰플 #앰플추천 #에센스추천 #세럼추천",2021-02-17,"2,344",,"['#유료광고제', '#이니스프리', '#블랙티앰플', '#항산화앰플', '#블랙티유스인핸싱앰플', '#이니스프리블랙티', '#가성비앰플', '#앰플추천', '#에센스추천', '#세럼추천']"
6,"#유료광고. ..10만개가 팔렸다는 #이니스프리 #블랙티앰플 한 병 끝까지 써본 느낌은.... #항산화앰플 이라 그런지 사용할수록 피부 컨디션이 리셋되는 느낌?  피부에 쫀쫀한 윤기는 물론, 피부결도 한 결 매끄러워져서 신랑이 자꾸 뺏어써요 ㅎㅎㅎ (쫀쫀해도 끈적임 없이 스며들어서 신랑이 텍스춰도 매우 만족중!)마침 요 입소문 난 #블랙티유스인핸싱앰플 구매할 절호의 찬스!2/17 부터 단 5일간, 이니스프리 빅세일 기간 동안온라인 한정 수량으로 #이니스프리블랙티 대용량 50ml 사이즈를 30%할인한 가격애 만나볼 수있어요!..오늘! 17일 수요일 첫날은 T멤버십 20% 추가할인까지 된다고 하니 #가성비앰플 이번 기회에 꼭 쟁여두세요. ^^ . ... #앰플추천 #에센스추천 #세럼추천",2021-02-17,607,"Seoul, Korea","['#유료광고.', '#이니스프리', '#블랙티앰플', '#항산화앰플', '#블랙티유스인핸싱앰플', '#이니스프리블랙티', '#가성비앰플', '#앰플추천', '#에센스추천', '#세럼추천']"
7,"#유료광고/ 두근두근한 소식.･̑◡･̑ 아모레퍼시픽에서 빈티지 앰플 선런칭했어요!정식 런칭 전에 AP몰에서 미리 만나볼 수 있는 신제품 빈티지 앰플 ෆ  렉슨 미니램프랑 빈티지 앰플 본품으로 구성된 선런칭 박스는 절대 놓치면 안돼용. 왜냐면 진짜 갖고 싶은 두가지가 한번에 들어 있잖아요. 히히 ´͈ ᗨ `͈ (2월15~21일 까지 한정수량 판매되니 서두르세용! 정식런칭은 3월입니댱.) 빈티지 앰플은 100일 자연 발효 숙성된 동백꽃으로 완성된 100% 항산화 회복앰플인데 강력한 항산화 효능으로 피부 컨디션을 회복시켜주면서 즉각적인 수분공급으로 건강한 피부를 만들어줘요. ˘◡˘ 피부가 탄탄 탱탱 건강해 지는게 느껴질거에여. 마스크 쓰면서 한동안 입가나 광대쪽에 트러블도 생기구 날이 건조해 피부가 울긋불긋 했엇는데.빈티지 앰플을 사용하면서 그런 고민이 점점 줄어들고 자신감이 생기기 시작했어요. ･̑◡･̑ 자연스런 윤기가 흐르는 느낌? 진짜 자꾸 칭찬하고 싶어지는 제품입니당. 저는 하루 두 번 발라주는데~아침에는 크림에 섞어서 사용하구, 밤에는 앰플처럼 흡수시키면서 마사지 해줘요.!향도 은은해서 기분까지 좋아지는데 저는 이거 바르구 피부의 건조함을 잊고 살아용.히히.여러분도 원래 사용하는 제품에 믹스해서 집중관리 해보세용. 강력추천쓰.!!#빈티지앰플 #아모레퍼시픽 #까멜리아앰플",2021-02-17,"1,821",,"['#유료광고/', '#빈티지앰플', '#아모레퍼시픽', '#까멜리아앰플']"
8,"#유료광고 쫀쫀하고 반짝반짝 광 나는 피부를 만들어주는 #이니스프리블랙티 라인🤎 이니스프리 그린티 맛집인 줄 알았는데 블랙티도 이렇게 좋다니!이번에 제가 써본 제품은 #블랙티앰플 이랑 #블랙티크림 인데요🌞 블랙티 앰플은 한번만 썼는데도 피부 달라지는게 바로 느껴졌어요. 피부가 쫀쫀탱탱해지는 느낌인데, 크림도 같이 써줬더니 피부 컨디션도 훨씬 빠르게 좋아지는 것 같더라고요?2/22부터 일주일 동안 #블랙티앰플 30% 할인에 포인트 페이백 이벤트도 진행 중이니 이 기회에 꼭 써보시길 추천🧚🏻🖤​#이니스프리 #항산화앰플 #블랙티크림",2021-02-24,"2,117",,"['#유료광고', '#이니스프리블랙티', '#블랙티앰플', '#블랙티크림', '#블랙티앰플', '#이니스프리', '#항산화앰플', '#블랙티크림']"
9,#광고피부 유익균이 함유된 #비건화장품산뜻한 사용감의 고농축 앰플로 환절기 속건조에 강추🖤⠀⠀⠀#끌림글램#cclimglam #세라바이오틱스앰플 #cerabiotics #creamideampoule #moisturizing #속건조앰플 #prebiotics #nourishing #앰플추천#에센스추천 #essence #cleanbeauty #yegan #vegetablecosmetics ⠀⠀⠀,2021-03-07,23,,"['#광고피부', '#비건화장품산뜻한', '#끌림글램', '#cclimglam', '#세라바이오틱스앰플', '#cerabiotics', '#creamideampoule', '#moisturizing', '#속건조앰플', '#prebiotics', '#nourishing', '#앰플추천', '#에센스추천', '#essence', '#cleanbeauty', '#yegan', '#vegetablecosmetics']"
