,content,date,like,place,tags
0,"안녕하세요 :) 라온맘입니다. 개인적으로 사용해보고 너무 만족스러워서 용기를내어 대표님께 먼저 연락드리게된 저의 인생마스크팩을 소개해드리려고 합니다🌿몇달전부터 이 브랜드의 앰플과 기초 제품을 사용하고 있는데 피부 톤 ,결,광 속보습이 개선되는 찐경험을 하고 있어요🤭프로폴리스 앰플 14병을 그대로 담아낸 진정팩은 진정효과로도 넘사벽이었구요👍🏻제가 프로폴리스 카밍 인 마스크팩을 쓰고 가장 좋았던점은 요즘 마스크를 매일 쓰면서 뾰루지가 하나둘 올라오더라구요 . 냉장고에서 꺼내서 해주면 붉은기들이 즉각적으로 가라앉는다는게 보이더라구요. 잦은 트러블로 고민이셨던 분들께 꼭 추천드리고 싶은 저의 인생팩이에요! 쓰면 쓸수록 만족스러워서 로지님들께 꼭 보여드리고 싶었어요🙆🏼‍♀️이벤트 참여방법🌿여기피드 좋아요를 누르고 댓글에 아무글이나 간단히 남겨주시면 되세요! 5분 추첨하여 체험단으로 선정할게요☺️ 내일 오후 1시까지 오픈하고 추첨후 당일발송 예정이세요🙌🏻 정성스러운 리뷰 작성 가능하신분들만 꼭 참여부탁드립니다!분명 인생팩이 되실거에요🕊#로지브라운#인생마스크팩#체험단모집#아이다마스크팩",2020-08-18,201,,"['#로지브라운', '#인생마스크팩', '#체험단모집', '#아이다마스크팩']"
1,✨Follow EVENT✨연어앰플 (24만원 상당)을 선물로 드립니다!#앰플맛집 더마 엘라비에 PDRN 28데이즈 앰플 더욱더 건강하고 탄력 넘치는 피부를 위해 피부 턴 오버 주기에 맞춰 관리하는 프리미엄 홈케어 앰플#팔로우 하고 선물로 받아가세요♥✔️이벤트 기간 : 9월 28일(월) - 10월 06일(화)✔️당첨자 발표 : 10월 08일(금)✔️이벤트 참여방법 1. 더마 엘라비에 공식 인스타그램 팔로우하기! @derma_elravie_cosmetic2. 게시물 좋아요와 응원댓글 남기기3. 친구 태그 & 리그램시 당첨확률 UP !✔️이벤트 경품 : 더마 엘라비에 PDRN 28데이즈 앰플 (24만원 상당)✔️당첨자 인원 : 5명더마 엘라비에 공식계정 팔로우하고 선물 받아가세요!* 당첨자 선정 기간 내 공식 계정 팔로우 취소 및 계정 비공개 전환 시 당첨 제외될 수 있습니다.,2020-09-28,"1,814",,"['#앰플맛집', '#팔로우']"
2,탱탱 반짝피부를 원하신다면♥️♥️--한번 쓰면 절대 끊을 수 없는 #아이다코스메틱 앰플🌸 제가 추천하는 코스대로만 따라오시면 #쫀득 #화사 #탱탱 #반짝 이는 피부를 가질 수 있답니다😎 자기전에 #홈케어 다 하고 찍은 셀카예요 ✨이번 2주년 마켓 추천코스는 #마스크트러블 과 #화이트닝 세트예요. 그리고 #수분앰플 #진정앰플 10박스 구성 모두 40% 할인으로 보여드립니다. 놓치지마세요♥️ 금욜 아침10시이전 주문시 낼 당일발송입니다🚀#앰플맛집 #정제수유해성분0 #꼭쓰세요 #제발 🙏🏻#춤추는피망 #인스타메인링크클릭🔝,2020-04-09,267,,"['#아이다코스메틱', '#쫀득', '#화사', '#탱탱', '#반짝', '#홈케어', '#마스크트러블', '#화이트닝', '#수분앰플', '#진정앰플', '#앰플맛집', '#정제수유해성분0', '#꼭쓰세요', '#제발', '#춤추는피망', '#인스타메인링크클릭🔝']"
3,"피부를 밝히는고농축 고흥 유자 한 방울의 힘 💧.[유자 나이아신 잡티 세럼] 제형 안에청정지역, 전라남도 고흥유자추출물이 무려 82% 함유되어 있어요‼️넘쳐 흐르는 잡티 세럼 속 비타에너지로칙칙하고 어두운 피부를 촉촉하고 맑은 피부로⭐브라이트닝 집중 케어⭐..🔎 상기 내용은 원료적 특성에 한합니다..유자 나이아신 30 데이즈 잡티 세럼.------------------------------------------.A power of one drop of highly concentratedGoheung Yuja🍋that brightens skin🧏🏻‍♀️.[Yuja Niacin Blemish Serum] It contains 82% of Goheung Yuja that is extracted from The clean area of Jeolla Province🏞Moisturize and clear the dull and dark skin throughvita energy Inside the overflowing blemish serum!✨Intensive Brightening Care✨..📌 Information above is limited to the characteristicof raw material..Yuja Niacin 30 Days Blemish Care Serum..#썸바이미 #고흥유자 #유자세럼 #유자앰플 #스킨케어추천 #세럼추천 #앰플 #앰플맛집 #미백세럼 #미백케어 #광채피부#스킨케어 #고농축세럼 #화이트닝앰플 #앰플세럼 #브라이트닝#비타민세럼 #somebymi #skincare #serum #vitaminserum #brightening #dailyskincare #glowserum #bestserum #asianbeauty #premiumcosmetics #kbeauty",2020-06-12,0,,"['#썸바이미', '#고흥유자', '#유자세럼', '#유자앰플', '#스킨케어추천', '#세럼추천', '#앰플', '#앰플맛집', '#미백세럼', '#미백케어', '#광채피부', '#스킨케어', '#고농축세럼', '#화이트닝앰플', '#앰플세럼', '#브라이트닝', '#비타민세럼', '#somebymi', '#skincare', '#serum', '#vitaminserum', '#brightening', '#dailyskincare', '#glowserum', '#bestserum', '#asianbeauty', '#premiumcosmetics', '#kbeauty']"
4,"정제수 대신 소나무잎추출물이 함유된 솔잎앰플피부결정돈,피부정화,보습을 한번에 🌿...#나인위시스#어메이징파인앰플세럼#솔잎앰플#성분천재#정화앰플#맑은앰플#앰플맛집#AD",2020-01-17,377,,"['#나인위시스', '#어메이징파인앰플세럼', '#솔잎앰플', '#성분천재', '#정화앰플', '#맑은앰플', '#앰플맛집', '#AD']"
5,"#이벤트폭발예고저와 레어케어 식구들의수개월의 검증이 끝난 제품들의체험단 모집을 곧 순차적으로공지드리려고 합니다 ♥️⠀정말 ""우와 정말 좋네요"" 하실만한훌륭한 삶의질 향상템들만 데려올거예요 💪🏻⠀차근차근 공지드릴게요 ✨⠀""난 평생 당첨운 같은 건 없었어""생각하시는 분들도 이곳에선 기적이 자꾸 반복된다고 하시는데요많은 분들 크게 행복하실 일 곧 선물같이 짠짠 들고 나타날게요 ♥️기대해주세욥 👏🏻👏🏻⠀✔️ 예고 스포 조금만 💭⠀❗️수년간 행복하게 먹고 마시는너무 행복한 다이어트 체중 조절용 식품⠀👉🏻 #이지밀 #젤리컷무려 1달분 체험단 모집곧 있을 예정이구요 (엄청난 혜택 😍)⠀❗️여러분의 인생요거트가 될거라 확신하는 !!마켓컬리 입점 확정된 프리미엄 요거트 (이대 앞 줄 서서 먹는 장인의 손맛)⠀⠀#리틀리케 #아이슬란딕요거트 그래놀라 꿀 체험단⠀❗️남편의 힘의 원천 ! ㅋㅋ 저에게 한봉지도 안뺏기려고해서제가 몸이 안좋을 때에만 겨우 뺏어먹는 ㅋㅋㅋ (어쩜 저를 안줄까요? 흥 ㅋㅋ)⠀#들몰길가홍삼 역시 👏🏻⠀많은 분들께서 좋은 경험 함께하실 수 있도록 준비해서 공지들 팡팡 띄울게요 💬⠀하나같이 엄청 고가의 프리미엄 제품들이라 경쟁이 치열할 것으로 예상되는데요 ✨⠀네이버 은인캠퍼스 카페의 활동 많으신 분들께 늘 감사표시 드리기 위해 노력 많이 하는 만큼 ♥️⠀함께 소통하며 달려요 🙈⠀💬 그리고 여러분 ! ⠀오늘 공구 오픈이라 진귀한 선착순 사은품들을 놓치지 않기 위해미리 구성 잡는 논의로 오픈채팅 단톡방은 오늘 열띤 토론의 장입니닷 💥⠀❗️오늘 오픈하는 아이다 코스메틱의 경우,아팠던 피부도 회복되는 #앰플맛집 #인생앰플 #인생기초 제품이라고극찬들을 하시는데요(아이다 코스메틱 본사 공식 홈페이지의 후기들을 보시면 사례가 가득가득)⠀피부고민 상담을 본사에서 전문상담원들께서 해주세요 !카카오톡에서 @아이다코스메틱 검색하셔서상담 요청하시면 친절하게 상담해드릴거예요⠀⠀🎈오늘 저녁 8시 오픈될 #아이다코스메틱 공구도사전 사후 이벤트 완전 빵빵하게 준비 중이예요 🙈⠀🎁 선착순 선물부터가 열어서 써보는 순간 ‘와우 !!!!’큰 감동일 아이다 공구 💌기대 많이 해주세요⠀손에 모터달고 오픈 준비중입니닷 👩🏻‍💻⠀저녁 8시 공구 준비해서 돌아올게요매 피드마다 주시는 응원 감사드립니다바로바로 답글 못드려 죄송해요 😭⠀잘 준비해서 돌아올게요 🙏🏻⠀#은환씨공구 #1년365일산타계정 #선물가득 #이벤트맛집",2020-02-18,260,,"['#이벤트폭발예고저와', '#이지밀', '#젤리컷무려', '#리틀리케', '#아이슬란딕요거트', '#들몰길가홍삼', '#앰플맛집', '#인생앰플', '#인생기초', '#아이다코스메틱', '#은환씨공구', '#1년365일산타계정', '#선물가득', '#이벤트맛집']"
6,"#광고🌱 하이드라 스킨 앰플 세럼 & 어메이징 파인 앰플 세럼 🌱끈적임 없이 촉촉하고 산뜻한 앰플로 #앰플맛집 인 #나인위시스 제품이에요 😇✔️수분 앰플- 코코넛수 51% 함유 👍🏻- 올리브영 1위 + 뷰티어워드 1위 5관왕 👑- 압도적인 속보습 개선율 111.39% 💦✔️솔잎 앰플- 솔잎추출물 65% 함유 👍🏻- 모공 부피, 면적 개선 등 7중 모공 개선 효과 🤭- 4주 모공 잡는 솔잎 앰플#성분천재 #하이드라스킨앰플세럼 #수분앰플 #5관왕수분앰플 #어메이징파인앰플세럼 #모공앰플 #솔잎앰플 #모공화장품 #모공케어 #엠플추천 #ad",2020-10-07,147,"Daegu, South Korea","['#광고🌱', '#앰플맛집', '#나인위시스', '#성분천재', '#하이드라스킨앰플세럼', '#수분앰플', '#5관왕수분앰플', '#어메이징파인앰플세럼', '#모공앰플', '#솔잎앰플', '#모공화장품', '#모공케어', '#엠플추천', '#ad']"
7,(광고)자기 전 한캡슐이면 얼굴 전체에 수분폭탄 투하!#닥터자르트앰플 #히알루론산앰플 #앰플맛집 #수분앰플 #닥터자르트,2020-02-12,122,,"['#닥터자르트앰플', '#히알루론산앰플', '#앰플맛집', '#수분앰플', '#닥터자르트']"
8,"#광고골라쓰는 앰플 맛집 #나인위시스하이드라 스킨 앰플 세럼 & 익스트림 옥시전 앰플 세럼, 피부 타입에 맞춰 사용하면 되지롱-일교차가 큰 요즘같은 때엔 파랑이 #수분앰플 ​딱이지 💙 올리브영 1위할만하네👏🏻여기에 #장벽앰플 까지 레이어링 해주면 촉촉탄탄한 건강한 피부 완성이에요​피부 타입별로 7종이나 있어서 저처럼 원하는 것만 쏙쏙 골라쓰기도 좋아요👍🏻...#나인위시스 #앰플맛집 #하이드라스킨앰플세럼 #수분앰플 #익스트림옥시전앰플세럼 #장벽앰플 #피부장벽#앰플추천 #수부지 #건성 #스킨케어 #AD",2020-10-15,458,,"['#광고골라쓰는', '#나인위시스하이드라', '#수분앰플', '#장벽앰플', '#나인위시스', '#앰플맛집', '#하이드라스킨앰플세럼', '#수분앰플', '#익스트림옥시전앰플세럼', '#장벽앰플', '#피부장벽', '#앰플추천', '#수부지', '#건성', '#스킨케어', '#AD']"
9,#나우스킨랩예전 고객님들을 위한 바뀐 상호 안내,2021-03-07,123,나우스킨랩,['#나우스킨랩예전']
