,reviews,starpoint,date
23,가격 저렴하고 1+1이라 구매했어요. 클래징으로 깨끗히 닦았는데도 화장솜으로 묻어나올 정도로 깨끗하게 닦아주고 피지가 확실히 조절에 도움이 되는 것 같아요.,100점,2020.01.18
24,"코리아나 앰플엔 브이샷 앰플 100ml, 펩타이드샷 앰플 100ml 잘 스며들고 촉촉하게 피부를 탱글탱글하게 만들어 줍니다. 추천합니다",100점,2020.01.18
25,전에 30미리짜리 두병 구입한거 다 쓰고 좋아서 이번에 100미리짜리로 두병 구입했어요 사은품으로 주신 클렌징스틱도 써보니 화장 잘 지워지고 너무 좋네요 감사합니다,100점,2019.11.06
26,"3병째 구매했어요.. 샘플도 듬뿍 보내주시고 , 클랜징크림도 보내주시고 넘~넘 감사힙니다. 앰플 좋아서 다른거 안쓰고 스킨대신 쭈욱 씁니다.",100점,2019.08.29
27,저렴한 가격에 잘산것 같아요.요즘같은 환절기에 피부가 예민해질때 별 트러블 없이 잘 맞네요. 만족합니다.,80점,2019.09.25
28,처음 사보는데 펩타이드 써보고 좋아서 믿고 주문했어요. 부모님 드릴거랑 딸이랑 같이 쓰려고 4박스 같이 주문했는데 배송 빠르고 포장도 안전하게 잘 보내 주셨어요.,100점,2020.11.13
29,많이 사서 쟁여 놧어요 스킨 로션은 항상 코리아나 쓰는데 앰플은 처음인데 좋네요 용량 크고 가격 저렴하고 좋아요,100점,2019.11.11
30,코리아나 앰플엔 촉촉하게 앰플 기초 클렌징 선 전품목 할인코리아나 앰플엔 촉촉하게 앰플 기초 클렌징 선 전품목 할인좋아요,100점,2020.06.19
31,펩타이드샷 쓰는 중인데 맘에 들어 건조 계절이 다가와 듬뿍 듬뿍 쓰려고 쟁겨 놓아요 바르면 쫀쫀한 느낌이 좋아요 따라온 팩도 펩타이드네요 ^^,80점,2020.09.11
32,가성비 갑 제품~ 대용량 앰플인데 가격저렴해서 좋네요! 아직 더 써봐야겠지만 피부에 잘 맞아요,100점,2019.07.17
33,하나 구매하고 향도 좋고 촉촉해서 여러개 구매했는데 저한테는 맞지않았는데 트러블이 나서 반품 요청 드렸는데 신속하게 처리해주셨어요,100점,2020.10.23
34,하나 구매하고 향도 좋고 촉촉해서 여러개 구매했는데 저한테는 맞지않았는데 트러블이 나서 반품 요청 드렸는데 신속하게 처리해주셨어요,100점,2020.10.23
35,하나 구매하고 향도 좋고 촉촉해서 여러개 구매했는데 저한테는 맞지않았는데 트러블이 나서 반품 요청 드렸는데 신속하게 처리해주셨어요,100점,2020.10.23
36,배송은 좀 느렸어도 계속 쓰는 제품입니다. 50대라 피부가 밝아지거나 하진 않치만 피부 노화가 조금이나마 늦춰지길 바래보며~,80점,2020.01.15
37,대박 저렴한 가격 좋아요. 빅세일에 쿠폰으로구매 하니 이런점이 좋네요. 명절에 부모님께 선물하고 저도 사용해보려구요. 많이 파세요.,100점,2020.01.10
38,히알루론산 과 수분이만나 수분가득이길바랬는데 건성에겐 너무 메마르네요.유분 전혀없습니다.,20점,2020.06.12
39,대박 가성비짱 당김없이 아침까지촉촉 수분인거같은데 유분도 있는거같고 끈적임도 전혀없어요 너무순하고 좋습니다,100점,2021.01.04
40,한개를 오배송하셔서 회수처리 하시고 재배송 해주셨어요. 끈적이는 걸 바르면 트러블이 생겨서 작은 사이즈로 시켜봤는데 좋으면 또 시키려구요.,100점,2020.01.15
41,추석명절 쿠폰 적용해서 착한 가격으로 구매 했습니다.대용량으로 오래도록 사용 하겠어요. 토너가 아주 크네요..감사합니다.,100점,2020.10.03
42,재구매 상품이라 선택을 하였습니다. 피부가 쫀쫀해지고 광이 나는 느낌이 들어 열심히 바르고 다 사용하면 재 구매 하려고 합니다~~~,100점,2020.02.13
43,건성인 피부인데 발라보니 촉촉함이 오래가는것같아요. 피부가 좋아졌으면좋겠네요,80점,2020.05.07
44,열심히 사용중..나이가 들어가니 뭔가 관리해야할거같아 구매..지난번에 장바구니 담았다 하루지나는 사람에 못사서 이번엔 후딱삼ㅋ스킨도 살껄 그랬음...,100점,2020.06.10
45,작년에 써보고 재구매했어요. 대용량이라 오래 쓰는데 이번에 쿠폰까지해서 저렴하게 샀네요. 배송도 빠르고 샘플도 감사합니다.,100점,2020.01.22
46,사용감은 무겁지않고 촉촉하고 좋네요..효과는 아직 쓴지얼마안되서..저렴한가격으로 잘샀네요 ~,80점,2020.09.20
47,가격대비 만족합니다..건성 피부인데 바르니 촉촉한 느낌입니다..,80점,2019.11.06
48,"배송도 빠르고, 3세트 시키면 대용량 준다고 해서 일부러 3세트 시켰는데 딱 안 시킨 제품으로 대용량이 와서 더 좋아요",100점,2020.01.09
49,"배송도 빠르고, 3세트 시키면 대용량 준다고 해서 일부러 3세트 시켰는데 딱 안 시킨 제품으로 대용량이 와서 더 좋아요",100점,2020.01.09
50,"배송도 빠르고, 3세트 시키면 대용량 준다고 해서 일부러 3세트 시켰는데 딱 안 시킨 제품으로 대용량이 와서 더 좋아요",100점,2020.01.09
51,코리아나 펩타이드샷 대용량앰플1+1 잘 도착했습니다. 다른상품과 많이 달라서 신기했습니다. 피부에도 잘 맞고 좋네요.,100점,2020.02.19
52,피부가 예민한편이라서 제품선택이 어려운데.. 친구들이 자극적이지 않다고해서 구매했는데..테스트해보니 이상한점은 없네요.,100점,2020.01.18
53,앰플 속 재료는 다르지만 요 앰플 써왔고 좋겠지라는 믿음으로 사용하는데 항상 느끼지만 앰플치고 촉촉한 느낌이 전혀없어요.,40점,2020.06.26
54,건성피부인데 바르고 좀 지나면 땡기는게 있는거같은데 뭘써야 속수분이 채워지는지 모르겠네요,60점,2019.12.22
55,두번째 구매인데 가격 착하고 촉촉해요..드라마틱한 효과는 없지만 좋으려니~하고 씁니다..,80점,2019.10.08
56,"피부에잘맞고 촉촉해서 재구매했습니다! 가격도 저렴하고, ~좋아요!!",100점,2020.01.10
57,배송도 빠르고 가격도 저렴해서 좋구요 사은품도 풍성하게 넣어주셔서 너무 좋네요^^품질도 좋을 것 같네요,100점,2020.11.13
58,"스킨,앰플, 썬크림까지 너무 맘에들어요~ 썬크림을 산다는게 크림으로 잘못 구매했지만 크림도 좋네요~",100점,2020.01.12
59,"스킨,앰플, 썬크림까지 너무 맘에들어요~ 썬크림을 산다는게 크림으로 잘못 구매했지만 크림도 좋네요~",100점,2020.01.12
60,아~ 양이 적네요 다른 제품은 제피부와 잘 맞아서 계속 써 왔는데 이 것도 좋겠지요 비싼 화장품 쓸 필요 안느껴요,100점,2019.11.07
61,지성피부에겐 끈적임 없이 흡수도 잘되는 크림이에요. 손 소독제도 주시고 너무너무 좋아요!,100점,2020.07.01
62,양 정말 많아요. 아주 오래오래 쓸거 같고요.. 지금 바르기엔 답답할까 싶지만 가벼운 오일세럼이랑 섞어 쓰니 답답한감도 없어요.,100점,2019.07.16
63,아직써보진 얺았는데 대용량이라 맘에들고 안에 실?? 같은게 있어요. 이거 피부에 녹는거 맞지요??,80점,2019.08.24
64,아직 쓰기 전이지만 일단 설 특별 쿠폰으로 저렴하게 구입할 수 있어서 좋았네요! 품질도 좋을 거라고 믿습니다!,100점,2020.01.22
65,코리아나 앰플미백제품 구매했는데 피부도 촉촉하고 흡수가 빠른것 같아요 핸드크림까지,100점,2020.06.25
66,용량이 아주 커요. 세정 후 화장솜에 묻혀 닦아내니 모공속 노폐물 장난아니네요. 모공속 깨끗함을 느낄 수 있어요.,100점,2019.10.04
67,내년여름에 쓸려고 미리 구매했는데 배송도 빠르게 오고 좋아요 써봐야 되겠지만 괜찮을거라 믿고 구매결정 합니다,100점,2019.11.05
68,할인할때 저도 쓰고 선물하려고 샀어요. 이제 한번 써봐서 효능은 잘 모르겠고 좋아보이긴해요. 선물용으로 좋네요.,100점,2020.01.13
69,이렇게나 좋은 앰플을 할인가격에 데려올수 있다니~~~촉촉하지만 번지르르하지않은 딱좋은!!,100점,2020.06.30
70,배송빠르고 손세정젤까지 사은품으로 왔네요~ 저렴하고 지금처럼 건조한날씨에 사용편하네요,100점,2020.09.13
71,유명하다고 해서 사봤는데 너무 잘쓰고 있어요 여름이지만 촉촉한 앰플찾고있었는데 너무 좋아요,100점,2019.06.09
72,유통기한도 넉넉하고 좋아요 일단 제가 쓰고 있는 앰플 다쓰고 쓸건데 써보고 괜찮으면 주문하러 또 올게요 암튼 잘쓰겠습니다,100점,2019.09.06
73,배송 빠르고 앰플이 촉촉하니 좋아요 매일매일 바르고 자니 피부가 안땡겨서 좋아요,100점,2019.10.15
74,가격이넘착하고아직사용안해봤지만예전에마니사던화장품회사라믿고구매했구 상품평도좋더라구요 암튼고맙고감사합니다~,100점,2020.01.11
75,화장솜에 적셔 쓰기 딱 입니다^^ 약간의 쿨링감도 있고 대용량이라 부담없이 쓰고 있어요^^ 재구매할께요^^,100점,2019.09.20
76,미백기능있는 앰플 찾고있었는데 촉촉하고 울긋불긋한 피부가 많이 진정되었어요~,100점,2020.08.31
77,피부가 촉촉하고 좋네요 가성비 갑 이네요,100점,2020.02.17
78,싸게 잘샀어요. 미백효과도 있고 탄력도 생기는 것 같아요. 싸게 구매한 덕에 지인들에게 선물도 했어요.,100점,2019.09.03
