,reviews,starpoint,date
34,"다른 오일 사용하다가 호호바 오일 첨 구입해봤어요 환절기,동절기때 오일은 필수템입니다.",100점,2020.10.20
35,사용하던 것이라 역시 좋네요 또 구매하여 딸에게도 보냈어요. 보습이 아주 좋아요^^,100점,2020.12.29
36,조금 실망했네요 제품이 미달 됐어요 다른제품은 다왔는데..추출물에서 한가지 안보내주셨어요 ㅠㅠ,100점,2021.01.19
37,조금 실망했네요 제품이 미달 됐어요 다른제품은 다왔는데..추출물에서 한가지 안보내주셨어요 ㅠㅠ,100점,2021.01.19
38,"두피 마사지 할려구요. 원래 아이허브 제품 썼는데, 이거 써보고 좋으면 단골할게요.",80점,2020.10.29
39,재 구매 입니다손상된 머리카락과 몸에 바르고 있어요날씨가 추워서 꽝쾅 얼어서 왔네요,100점,2021.02.03
40,속피부 수분도 챙겨주는듯 상품 만족합니다,100점,2020.05.09
41,첫구매.. 오일기가 남아있지 않고 속이 촉촉해지는 느낌.,100점,2020.12.25
42,이걸로 맛사지하면 좋다길래 샀어요. 피부가 매끈매끈하니 좋네요,100점,2020.04.23
43,그냥도 바르고 크림 만들때도 쓰고 다용도로 사용하고 있어요,100점,2020.02.14
44,가격도 저렴하고 제품도 좋아서 자주 이용합니다,100점,2020.05.09
45,했어요 샤워후 물기있을때 몇방울 물기와함께 흡수시켜주니좋아요~,100점,2020.12.24
46,저렴하게 잘산거 같아요 아침 맛사지 용으로 샀는데 좋네요,100점,2020.07.26
47,골드 호호바오일 250ml 너무 건조해서 발라요,100점,2020.08.13
48,수분크림에 섞어 만능크림으로 만들어 쓰고 있어요,100점,2020.10.21
49,완전 좋아요~ 피부가 좋아졌다고 다들 난리네요~,100점,2020.01.15
50,배송도 빠르고 제품도 좋아요 판매자님 번창하세요 감사합니다 ^^,100점,2020.05.14
51,바디로션에 같이 섞어 발라요살짝 아토피있는 아이도 같이 사용해요,80점,2020.07.25
52,배송도빠르고 저렴하게잘산것같아요 다음에재구매할께요,100점,2020.11.21
53,배송도빠르고 저렴하게잘산것같아요 다음에재구매할께요,100점,2020.11.21
54,배송도빠르고 저렴하게잘산것같아요 다음에재구매할께요,100점,2020.11.21
55,배송도빠르고 저렴하게잘산것같아요 다음에재구매할께요,100점,2020.11.21
56,배송도빠르고 저렴하게잘산것같아요 다음에재구매할께요,100점,2020.11.21
57,날씨가추워서인지 얼어서 왔네요 처음써보지만좋으면 또 구매할께요,100점,2020.12.23
58,호호바오일너무좋아요..대용량없나요?500ml사고싶은데,100점,2020.12.30
59,괄사 마사지 오일로 구매했어요. 비정제 좋다해서. 기대되네요.ㅎ,80점,2020.10.14
60,건조한 피부때문에 샀어요.,100점,2020.04.09
61,너무 좋습니다 오일같지 않고 물처럼 흡수가 잘 됩니다,100점,2020.02.04
62,사용한지 3일째이고 촉촉해서 좋아요.,100점,2020.12.12
63,용량도많고 겨울이라 얼어서왓네요 좋아요,100점,2021.01.27
64,다른 브랜드 제품보다 저렴하게 샀어용,100점,2021.01.16
65,끈적이지않고 좋아요 단점은 뚜껑부분에서 새서 바닦에 흘러요,80점,2020.03.18
66,머리염색할때 섞어 사용하면 부드럽고 좋아진다해서 주문했어요,100점,2020.12.19
67,원래 사용하는 오일입니다 영양크림대신 바르고 자요,100점,2021.01.18
68,"색상이노란색이라,느낌이, 얼굴이, 노래질것같음",60점,2020.10.20
69,좋다고 해서 주문해 봅니다. 효과 기대해 봅니다.,100점,2021.01.14
70,예전에 호호바 오일 쓰다가 오랫만에 다시 사용하는데,80점,2020.05.28
71,피부에 좋다고 해서 구매해봤어요^^,100점,2020.04.15
72,겨울철 건조해서 샀네요 ㅎㅎ,100점,2020.12.02
73,배송이 느려요~아직 안써봐서 사용감을 잘 모르겠네요,60점,2020.12.11
74,만족합니다 끈적이지 않고 스며드는 호호바,80점,2020.12.11
75,수분공급및 피부질환에 좋습니다.,100점,2021.01.29
76,잘 사용하고 있어요 효과 좋았으면 좋겠습니다,100점,2020.02.23
77,피부에 좋다해서 한번 써보려구요.,100점,2020.03.10
78,날씨가 너무 추워서 그런지 꽁꽁 얼어서 왔어요,80점,2021.01.07
79,오일이 언상태로 왔고 저렴해서 구매,80점,2021.02.25
80,"쓰던곳이,품절 이라,바꿔 봄,써보고,또,주문할게요",80점,2020.10.20
81,배송빠름..포장상태보니...기본이 된 집임.,100점,2020.10.27
82,써보는데 바르니 얼굴이 환해지네요,100점,2021.01.02
83,늘 사용하던거라 역시 좋네요. 강추합니다^^,100점,2021.01.06
84,로션이랑 섞어서 바르니까 정말 좋네요.,100점,2021.01.11
85,보습도 잘되고 끈적임도없고 좋네요,100점,2020.03.25
86,대용량이라서 한동안 잘사용하겠어요,60점,2020.09.15
87,배송빠름...뽁뽁이 포장을 한개씩 하셈.,80점,2020.11.04
88,잘사용하고잇음다 부드러워요저렴하곳,80점,2020.11.10
89,배송빠르게 잘 받았읍니다 그리고 맘에들어요,100점,2020.11.13
90,저렴하고 품질이 좋습니다,100점,2021.01.18
91,제품정말좋구요 너무 좋네요. 배송도빠르네요,100점,2021.02.07
92,양도 많고 저렴하게 구입했어요.,100점,2021.02.21
93,호호바오일 저렴히 잘샀어요~^^,100점,2021.03.01
94,좋은제품 저렴하게 잘구매했읍니다,100점,2020.08.02
95,늘 사용하는 제품입니다. 만족합니다,100점,2021.01.19
96,적당한 가격에 잘구입했네요,100점,2021.02.28
97,로즈힙오일과 섞어서 매일 바르고 있어요~,100점,2019.12.30
98,비정제라서 훨씬 좋아요 양도 무척 많아요,100점,2020.01.04
99,호호바가 제일 기본이 되는 것 같아요.,100점,2020.04.09
100,조금씩 바디로션이랑 같이 바르고 있어요,100점,2020.10.23
101,뚜껑부분이 파손되어와서 교환신청합니다ㆍ,60점,2020.01.15
102,피부에 너무 잘맞아요,100점,2020.10.08
103,좋아요 저렴하게 잘샀어요,100점,2020.02.01
104,배송 빠르고 안전하게 도착했어요,100점,2020.11.28
105,간지럽다고 긁어대는 딸냄 발라주네요.,80점,2021.01.12
106,아직미사용이지만 좋으리라 생각합니다,100점,2021.02.09
107,좋아요 ~ 만족합니다 ^^,100점,2020.02.13
108,에어랲으로 깔끔하게포장했네요,100점,2020.03.18
109,좋아요 재구매 의사 있습니다. ~~,100점,2020.08.28
110,사용한지 몇일안돼서 향은 괜찮음,100점,2021.02.04
111,상품 좋고 배송 빠르고....,100점,2020.08.30
112,느낌좋고 트러블없음 굿,100점,2020.11.19
113,골든 호호바오일 강추합니다,100점,2021.01.09
114,배송빠름...포장상태~굿..,100점,2021.02.23
115,끈적거리지 않고 발림성 좋네요,100점,2021.02.24
116,피부에 좋데요,100점,2020.02.01
117,피부에 좋데요,100점,2020.02.25
118,호호바오일이야누구든아는거고..,100점,2020.12.06
119,로즈워터 아주 강추합니다,100점,2021.01.09
120,용량 넉넉하니 좋아요,100점,2021.02.27
121,호호바오일 늘잘쓰고 있네요^^,100점,2021.03.01
122,호호바오일 좋아서 구매했어요,100점,2020.01.18
123,"좋은거 가타요,, 감사합니다.",100점,2020.02.10
124,호호바 오일 유기농 적절하게,100점,2020.06.10
125,얼굴마사지 좋아요.,80점,2021.02.22
126,써보구 좋으면 재구매의사 ㅇ,80점,2020.06.19
127,와이프가 좋다고 잘 쓰고있음,100점,2020.06.22
128,막내아가 맛사지해줘야지ㅋㅋㅋ,100점,2020.08.27
129,호호바오일을 특가판매해서,100점,2020.11.23
130,매우 만족합니다^^,100점,2021.02.18
131,호호바오일 잘 받았습니다.,100점,2021.02.28
132,용기도 쓰기 편해요~~~,100점,2019.12.15
133,항상 요기소만 시켜용 굿귯,100점,2020.06.06
134,만족 합니다~~,100점,2020.11.11
135,호호바오일 사용할려구요~,80점,2020.12.14
136,집중 치료용으로 샀어요.,100점,2020.04.09
137,빠르고 아주 좋습니다,100점,2020.05.13
138,잘받았습니다대박나세요^^,60점,2020.07.18
139,안전하게 잘 받았습니다,100점,2020.11.23
140,호호바오일 괜찮네요,100점,2020.12.07
141,소문 듣고 구매했어요.,80점,2019.12.06
142,부드럽고 좋아요~~~~,100점,2020.12.17
143,배송빠르고 좋아요,100점,2019.12.06
144,오일 잘 받았습니다,100점,2020.01.02
145,아직미개봉 아수없음.,100점,2020.11.05
146,추천합니다 좋아요,60점,2021.01.03
147,호호바오일 좋아요,100점,2020.02.23
148,냉동 으로 왔네요,80점,2021.01.06
149,무난해요,80점,2020.02.20
150,자극없어요,80점,2021.01.18
151,괜찮은듯요,80점,2020.03.27
152,식용유 냄새남,60점,2020.08.16
153,괜찮은듯,80점,2021.01.27
154,배송 빠름,100점,2020.10.30
155,오케이,100점,2019.11.23
156,좋은 상품 감사합니다 ~~,100점,2020.09.24
157,"잘왓어요, 맘에 듭니다",100점,2019.11.29
158,잘쓸게용,100점,2019.11.14
159,잘 써 볼께요,100점,2019.11.08
160,"기대이상의 상품,,,배송,포장좋음, 오일상태 굿, 냄새 찌꺼기등 없고, 상태 좋음, 사용하기 편한 용기에 량도 많고, 가성비 굿템임. 사용법은 로션 크림등 사용할떄 한번씩 짜서 같이 사용하면 됨, 어느곳에나 다 사용가능, 얼굴, 몸. 손과 발까지. 발을 듬뿍, 거칠어져서 스타킹 나가지 않도록, 그리고 남은 손에 것은 개털 머리끝에 물기 젖었을때 발라줌, 다른 오일은 향기 량때문에 못했던 온몸 오일코팅함. 온 가족이 마구 사용하고 또 갓템할 예정임,,,현님후기 또만나자 코리아씨밀락~",100점,2019.11.08
161,좋아요,80점,2019.12.06
162,좋아요..,80점,2020.01.08
163,잘받았습니다,100점,2020.01.12
164,좋습니다.,100점,2020.01.26
165,감사합니다 좋은 제품 이네요,100점,2020.01.31
166,ㄴㄷㅅ귿ㅉ뚜ㅡ느ㅡㅌㅉㄹㅌㅊㄷ,100점,2020.01.31
167,잘 받았어요.,100점,2020.02.05
168,번창하세요,80점,2020.02.06
169,fsdf,80점,2020.02.11
170,감사합니다. ^^,100점,2020.02.14
171,좋아요 잘쓰겠네요,100점,2020.03.11
172,아주좋아요,100점,2020.04.07
173,잘받았습니다~,100점,2020.04.10
174,좋아요,80점,2020.04.12
175,좋아요,80점,2020.04.12
176,좋아요,80점,2020.04.12
177,..,80점,2020.04.13
178,아주좋와요,100점,2020.04.14
179,매번쓰던거에요좋아요,60점,2020.09.16
180,아주 좋아요.,100점,2020.04.20
181,좋아요,100점,2020.04.22
182,잘 쓸게요,100점,2020.09.17
183,잘 쓸께요,80점,2020.09.17
184,좋아요^-^,80점,2020.05.10
185,로쓸려구욤 어떨지 기대되요,100점,2020.05.15
