,reviews,starpoint,date
11,최근에 피부 컨디션이 안좋아서 구매했어요~ 프로폴리스가 개선에 좋다길래! 저렴하게 구매한것 같아서 만족하는데- 구매하자마?ㅋㅋㅋㅋ 또할인 ㅠㅠ 같이 사은품으로 온 크림들은 후기 찾아보니까 얼마 없더라구요... 재고처리인가 싶어서 쓰기가 좀 그래요;;;; 크림대신에 앰플 샘플 더주는게 나을거 같아요ㅠ,100점,2020.07.10
12,비싼거 싼거 여러가지 에센스를 써봤지만 이렇게 딱 효과있다고 느낀건 이거 처음이에요! 항상 아침 저녁으로 매일 쓰는 제품이에요. 이거 쓰면 정말 담날 화장이 잘먹어요! 볼은 건조하고 티존은 기름지고 여드름도 많고 하튼 좋지 않은 피부인데 잘 맞아요.. 몇통째인지 지인마다 추천해주고 있습니다,100점,2020.09.27
13,비싼거 싼거 여러가지 에센스를 써봤지만 이렇게 딱 효과있다고 느낀건 이거 처음이에요! 항상 아침 저녁으로 매일 쓰는 제품이에요. 이거 쓰면 정말 담날 화장이 잘먹어요! 볼은 건조하고 티존은 기름지고 여드름도 많고 하튼 좋지 않은 피부인데 잘 맞아요.. 몇통째인지 지인마다 추천해주고 있습니다,100점,2020.09.27
14,원래쓰던건데 적당한가격에 성능은 좋은편입다 좋아지는게 느껴지던지 좋아진상태가 유지되던지 하는 제품이에요 냄새도 프로폴리스 특유의 향은 거의 느껴지지않구요 오히려 좋은 꽃향이라고 해야하나 그런 향이 나서 전혀 거북스럽거나 인위적인 느낌이 나지 않습니다 양볼 이마 한방울씩만 써도 충분하고요 바르고나서 끈적거린다거나 전혀 그런것도 없습니다,100점,2020.04.17
15,차앤박 제품을 알고 난 뒤 아예 정착을 해버렸어요. 기초케어 유목민이었던 제게 가뭄의 단비같았던 제품입니다. 처음 사용은 1~3년전으로 기억하는데 그 이후로 항상 사용하고 있고 지금도 사용중입니다. 일주일에 2번은 다른 기초케어 없이 세안 후 앰플로만 롤링하듯이 얼굴 전체를 마사지해주고 있어요. 정말 좋아요 차앤박 제품♥,100점,2021.01.16
16,가격이나 브랜드를 떠나서 각자 맞는화장품이 있나바요아무리 비싸고 좋다하는것들 써봐도이거쓸때만 피부상태가 좋아져요화장품 변화에 예민하지못해 그냥 저냥 쓰는데이건 사용할때 피부컨디션이 정말 좋습니다입문해보세요가격도 합리적이고 백화점 라인보다 더 좋네요 저는,100점,2019.06.10
17,오후 3시 이전 결제건 당일 발송이라고 나와있어서 더 저렴한 곳 포기하고 여기서 구매하였는데 아무소식이 없어서 확인해보니 당일 출고 안됐네요 재고소진 시 1-3일 더 소요된다고 밑에 나와있던데 재고소진되면 판매쪽에서 당일 발송 내용을 수정해야하는거 아닌가요? 구매자보고 고객센터에 당일 발송 문의하라는건 도대체...,40점,2020.11.11
18,좋습니다. 항상 쓰는 아이템이고 겨울철이면 더 효과를 보는 제품이에요. 대용량이 조금 저렴해서 이쪽을 샀는데 사은품을 많이 챙겨줘서 좋네요. 품질은 정말 좋습니다. 다만 마지막 한 방울까지 알뜰하게 다 쓰기가 좀 불편한 형태의 용기이긴 해요. 그것만 개선이 되면 좋겠어요,100점,2020.02.10
19,넘 좋아요. 피부가 거친 느낌이 있었는데 앰플쓰고 나서 피부가 부들부들하고 말랑말랑한게 기분이 참 좋아요. 매일 아침저녁으로 바르니까 생각보다 빨리써서 곧 또 사야되고.. 가격이 저렴하지는 않지만 효과가 좋은 것 같아서 다음에도 또 살 생각입니다.,100점,2020.11.16
20,다들 많이 사길래 그래함 써보자 하고 실험적으로구매한건데 왠걸 너무마음에듭니다 비슷한류로 백화점브랜드 로드샵 홈쇼핑용 화장품까지 많이사용했는데 너무좋네요 갠적으로 백화점 브랜드 보다 나은것같습니다 아침저녁 사용하는데 아침세안시 땡기는게사라졌고 보들보들 유지력이오래가요강추합니다,100점,2020.11.25
21,주변에서 차앤박 프로폴리스 워낙 추천을 많이받아서 겨울이라 너무 건조해서 구매하봤는데 오!!! 좋아요 속건조 쫙 잡아주네요 향은 꿀향이라 호불호가 조금있을꺼같지만 그리 강하진않아요 겨울에 쓰기 좋은듯 건조한계절마다 찾을꺼같아요,100점,2021.02.15
22,"저한테 차앤박 앰플이 잘 맞아서 몇년째 사용중인데요 이번에 샘플도 많이 주셔서 잘 사용하고 있어요~ 여름에 바르면 좀 무거운 느낌이고, 건조한 날씨엔 바르면 피부가 촉촉하고 쫀쫀해 지는 느낌이예요 앞으로도 계속 애용할듯해요 ~",100점,2020.04.01
23,처음에 반해반으로 구입해서 발랐는데 자꾸쓰다보니까 씻고나면 먼저화장대에 손이갈정도로 버릇이되었다 딸도 집에오면 엄마이거 좋은거네 하면서 자기도 바르고 그러다보니 금방없어지고 사람들이 피부가 좋아보인다면서 뭐쓰냐고 물어봐서 추전도 해주고 잘 바르고 있다고 한다,100점,2020.08.05
24,겨울에 항상 쓰는 앰플이에요 저는 피부에 잘맞고 좋더라구요 단독으로 앰플만 바르면 흡수는 좋은데 건조한느낌이라 크림이랑 같이 섞어서 발라요 그러면얼굴이 촉촉하고 다음날 피부결이 좀 좋아지는 느낌이에요,100점,2021.01.31
25,건조하고 칙칙해진 피부에 사용해봤는데 예민한 피부에도 자극없이 촉촉하게 좋아요~^^ 사용하고나면 피부가 좀 뭐랄까 탄탄해진 느낌이 들어서 좋아요! 재구매 의사있어요~!! 주변에도 추천 많이했어요,100점,2021.02.01
26,벌써 4년째 꾸준히 애용하고 있어요. 처음에는 자극이 없어서 가장 맘에 들었고 쓰면 쓸수록 맑아지고 속건조가 사라지면서 정말 이건 찐이구나 생각이 들어 그때부터 쭈욱 쓰고 있어요. 떨어지면 불안하기 때문에 항상 가격좋으면 쟁이는 템이 되었네요. 강력추천!!!,100점,2020.06.12
27,샘플 사용해보고 좋아서 큰 용량으로 구입했어요. 워낙 건성인데 쫀쫀하고 흡수려도 좋아서 건조한 봄부터 지금까지 잘 사용하고 있어요. 저랑 잘 맞는지 이 제품 사용하고 건조함이 없어졌어요. 다 쓰면 재구매할 거예요.,100점,2020.05.11
28,처음엔 촉촉하게 잘 발리는듯하다가 흡수되면서 뻑뻑해?지는감이 있어 느릿하게 바르다보면 골고루 바르기힘들어요 상자패키지도이쁘고 병 디자인도 이뻐 쓸때마다 마음에 들어요 의외로 향도 마음에 들구요~ 그렇게 보습을 많이 바라면 안될것같아요,100점,2020.01.18
29,한달이상 사용해보니 바르고 난 후 피부느낌은 좋아요 약간 점성이 있어 촉촉함이 지속되고 피부가 맑아지는 기분이에요 아침 저녁으로 바르고 있는데 피부가 좋아지길 바라고 있어요 이벤트로 할인하면 좋겠 어요,100점,2021.01.27
30,자기전에 사용하는데 아침에 피부가 탱탱하게 느께집니다 후기보고 구매해서 사용하고 있는데 계속 구매하고 싶은 맘이 생기네요~~ 주위 친구들한테도 권유하고 있어요~~ ㅋ 사용해본 친구들도 저한테 고맙다 하더라구요~ 앞으로도 더좋은 상품 많이 부탁드립니다,100점,2020.04.21
