,reviews,starpoint,date
18,쓰고 있는 제품입니다 이번에는 11번가 해외직구를 통해서 제품을 저렴하게 구매하게 되었습니다홍콩에서 꼼꼼하게 포장된 상태로 배송되어 왔습니다 1년 양식을 사놓은듯 마음이 든든합니다,100점,2020.07.11
19,울 시엄니 선물~~저렴한 가격에 잘 구매했네요.. 가격대비 효과는 넘 좋길요.. 제가 항상 쓰는 제품이라 좋은줄알고 구매했어요..잘 쓸게요..,100점,2019.05.30
20,피테라에센스 는 스킨대신 사용하는 제품이라 늘쓰고있습니다 좋은데 비싸서 고민입니다 그나마 롯데쇼핑 이 가격이 쪼금 싸서 구매하고있습니다 감사합니다,100점,2020.03.21
21,재재구매 쿠폰써서 아주 저렴하게 구매 재품은 써보면 끊을수없는 촉촉함이 있음 그리고 미세주름도 좀 막아주는듯함 눈가 세주름 마니 완화됨을 느낌,80점,2020.01.14
22,배송 빠르고 포장도 예쁘게 해주셔서 기분 좋게 선물 했습니다.다만 롯데택배 기사님이 사전에 연락없이 문앞에 두고 가셨어요.집에 사람이 아무도 없었는데 완전 황당 하더군요.,100점,2020.05.11
23,요즘 해외도 못나가고 백화점은 환율변동으로 비싸고 ㅠㅠ저렴한 가격에 늘사용하던 에스케이투 사용 좋아요 ㅎㅎ 않쓰면 불안하고 백화점이랑 꽤 가격차이 많이 나요,100점,2021.02.24
24,이벤트 혜택이 좋네요. 용량도 많고 사용감도 좋아서 늘 사용하는 제품인데이번엔 가격뿐만 아니라 다양한 사은품 혜택까지 좋아서 득템한 기분이네요.,100점,2020.06.04
25,성능이야 세상사람 모두 알고있는거구요..빠른배송에 감사드립니다.덕분에 아내생일날을 무사히(?) 보낼수 있었습니다.샘플도 많이 넣어주시고..감사드립니다. 대박나세요.,100점,2020.12.19
26,솔직히 향이 원래쓰던거랑 많이 달라서요.ㅜㅜ가격이 비싸고 통관세까지 따로 입금한지라..상담사가 정품이라고하긴하네요.백화점매장에가서 확인한번해봐야겠어요..!,100점,2020.09.07
27,이벤트로 할인 및 적립의 가격적 혜택이 좋아서 구매 쟁여놔요 며칠 사용안하다가 사용하니 역시 사용해야겠다는 생각이 들더라구요 롯데홈이 최곱니다~~,100점,2020.07.08
28,피테라에센스 구성이 넘 좋네요 상품권도 득템하고쓰다 안쓰면 피부가 칙칙해져서 안쓸수가 없다는..깜짝할인에 포인트할인으로 나름 알뜰구매합니다,100점,2020.05.26
29,"선물 포장 잘되어서 왔고, 제품 뽁뽁이로 엄청 많이 포장해서 안전하게 도착했습니다. 이전에 포장지만 주고 셀프 포장했는데 선물 포장해주니 좋네요",100점,2020.04.23
30,피테라 에센스 써야 저는 피부트러블이 안나요비싸지만 피부관리 받는셈 치고 에센스에 몰빵했어요,100점,2020.11.18
31,항상 오프라인으로 구매했는데 온라인으로 구매는 첨이예요~ 상품권 안들었어 깜짝 놀랐다가 상세정보에서 다시보니 모바일로 추후증정이라 안심중입니다^^,100점,2020.03.06
32,"좀 더 싸게 사려고 이거 주문했다가,세관 통과비용 35800원을 더 내라고 연락옴..이럴거면 그냥 백화점껄 사도 되는거였는데..ㅠ절대 이거 사지 마시길!!",20점,2020.07.09
33,배송도 4일.. 선물 포장 요청했는대..안해주신것 같고..먼가매우 아쉽네요. 박스가 선물포장용이란건가;;;직접가서 살걸...후회중,80점,2020.03.12
34,오랜만에 다시 구매했어요 피부가 이제 옛날로 돌아오지 않으려고 안간힘을 쓰고있어요 피테라에센스 쓰고 다시금 좋아지길 바랍니다,100점,2019.06.01
35,정말 좋아요!!! 강추합니다!!!~~~~~단 해외직구라서 시간이 좀 걸려요 ㅎㅎㅎ그거 감안하면 완전 좋습니다^-^저렴히 잘 샀어요,80점,2021.02.17
36,화장솜대신 스킨 샘플 작은거 하나 더 넣어주면 좋겠어요. 이 솜은 안쓰거든요. 배송 빠르고 제품은 만족합니다.,100점,2020.07.15
37,여드름 때문에 쓰게되었는데 확실히 붉은기운 가라앉게해주는 효과도 있거 피부도 매끈해지는거 같아서 넘넘 조아용 ㅎㅎ,100점,2019.04.21
38,역시 해외배송이라 좀 느림..ㅠㅠ 국내 들어오고 부터는 빨라요! 뽁뽁이 에어캡으로 하나하나 감싸져서 문제없이 도착했어요 정품일거라 믿어보아요ㅎ,100점,2019.07.25
39,이십대 시절부터 줄곧 써온 제품인데롯데홈쇼핑 구매조건이 맘에 들어 꾸준히 구매하고 있어요~소량 샘플들도 여행때 요긴하게 쓰고 있습니다^^,100점,2020.05.21
40,면세에서 처음 사서 써보고 쭉 사용중인데 에센스 때문인지? 피부가 좀 좋아지긴 했어요ㅋㅋ 못끊어~~~~,100점,2019.11.20
41,가격 좋은데 프로모션 적립 이벤트까지 있어 더 좋은 가격으로 구매해서 만족요 제품 훌륭한거야 ~~~,100점,2020.05.07
42,흡수력 짱! 뭔가 쫀쫀해지는 느낌이랄까?좋아요 ♡ 아직 많이는 안써봤지만 좋은 것같아요^^욜심히 써볼께요♡,80점,2020.06.29
43,배송은 느리지만 쿠폰으로 저렴하게 구매해서 좋네요 제품은 워낙 유명해서 다 아실거라 생각합니다 행사 자주 했으면 좋겠네요,80점,2019.07.11
44,할인받아저렴하게구매햇는데 예전꺼는 쓰자마자피부에바로효과가잇엇는데 이번엔전혀모르겟어요 진짜맞는건지,60점,2019.08.07
45,잘 받았습니다 늘 쓰는거라 믿고 구매했어요 안 바르면 뭔가 불안하네요 확실히 피부결이랑 모공엔 효과가 좋아요 잘 쓰겠습니다,100점,2020.02.18
46,평소에 사용하던 제품을 오프린인에서 보다 저렴하게 구입했음그런데 사은품중 크림 대신 화장솜이 옴ㅜㅜ,100점,2019.07.22
47,저렴하게 잘 샀어요.꾸준히 사용하는 나의 최애템이예요카드할인까지 하면 엘롯데가 면세점보다 저렴해요~,100점,2020.01.15
48,배송은 9일걸렸네요sk2에센스는 10년이상 꾸준히 써오는 겁니다정품맞겠지요?빅스마일데이 행사로 싸게 샀어요,80점,2019.05.30
49,와이프와 장모님께 선물하려고 구매한 제품입니다.너무 좋아하네요.면세점보가 인터넷이 훨씬 저렴한것 같습니다.,100점,2019.06.09
50,관세 폭탄...면세점보다 비싸게 주고 샀네요ㅠ 배송도 너무 오래걸렸어요...........[G마켓 안드로이드 앱에서 작성],20점,2019.08.12
51,엄마가 항상 쓰시는거라 사드렸어요저렴하게 사서 어쩔수없지만 엄마가 샘플하나 없다고 살짝 아쉬워했어요,80점,2020.11.15
52,피테라에센스 첫구매입니다. 좋은가격에 구입한거 같습니다.포장.꼼꼼하게 해주셨어요. 열씸히 써볼께요,80점,2019.04.17
53,8년이상 사용하고 있는 제품입니다ㆍ발효한 화장품이라 향이 썩좋지는 않지만 꾸준히 써보니 노화방지 되는거 같습니다,80점,2021.02.19
54,오랫동안 사용해온 제품인데 이사를 해서 백화점이 없어서 구입을 어떻게 할까 햇는데 너무 완벽하게 잘 받았습니다 ..,100점,2020.06.26
55,백화점보다 훨씬 저렴한가격으로 구입했네요해외배송 치고 배송기간도 많이 느리지 않아좋았어요,100점,2019.06.29
56,무척 맘에 듭니다 ㅎ 추천해요! 다른 곳 보다 저렴하게 구매 했습니다. 또 구매 할 꺼예요~^^;,100점,2019.07.22
57,민감하고 예민한 제 피부에 sk2 제품외에는 맞는제품이 없어요. 제품력은 엄청 좋아요.,100점,2020.03.08
58,이번엔 직구로 구매 가격이 메리트 있어서 구매 배송도 나쁘지 않음 단지 샘플이 1도 없다는,100점,2021.01.04
59,워낙 유명한 제품이라 사봤어요. 용량이 커서 어래 쓰겠더라구요. 효과 있음 재구매 하려구요~~,100점,2020.03.31
60,배송 빠르고 상품 잘 받았어요.저렴하게 파는 곳도 있지만 정품 아닐까봐서 롯데 믿고 구매합니다.,100점,2020.04.16
61,배송 진짜빨랐구요 늘 쓰던상품 저렴하게 구입해서 좋아요 !! 피테라 안쓰면 칙칙해져요 ㅠㅠ,100점,2019.11.12
62,6월 7일 주문한 상품이 6월 24일에 도착했네요.미리 배송 지연에 대한 안내가 있었으면 좋았을 것같습니다.,100점,2020.06.24
63,오래전부터 믿고 쓰는 에센스 입니다. 예민한 피부에 정말 좋은것 같아요,80점,2020.10.30
64,여러곳을 헤매다 주문했는데 배송도 빠르고 포장도 잘해주셨네요.제품도 만족하며 잘 쓸게요.,100점,2019.07.25
65,배송도 빠르고 좋은데 유통기간이 없고 상자가 구겨지고 먼지가 잔뜩이아 좀 오래된거 아닌지 걱정 되네요,80점,2019.09.09
66,뚜껑 열었는데 에센스병 입구에 마개가 없어서 찜찜하고 유통기한 날짜가 없어서 쫌...,20점,2020.06.19
67,한 일주일정도 걸린거 같네요. 선물로 해줬는데 맘에 들어하네요 대용량이라 맘에 듭니다.,80점,2020.06.27
68,너무 빠르게 와도 의심? ㅎㅎ항상 쓰는 피테라 큰용량 저렴하게 샀네요!!,100점,2019.06.05
69,늘 쓰는 거~ 배송 엄청 빠르네요 근데 왜 요즘 330ml 대용량은 판매 안하시는지 ㅠ,100점,2019.07.01
70,예전부터 써오던거라 믿고 샀어요~ 용량적당하고 배송도 5일이내로 해외배송치곤 빨랐습니다.,100점,2019.08.26
71,엄마 선물로 구매하였습니다포장도 꼼꼼하게 되어 빠르게 배송되었습니다만족합니다,100점,2020.02.03
