,reviews,starpoint,date
10,"미백에 좋다는 이 앰플 얼굴에 여드름 흔적,잡티가 제법 많아서 고민이 많았는데요.. 징크성분으로 여드름에도 효과를 많이 봐서 이 앰플도 무척 기대했는데 개인적으로 아침저녁으로 다 쓰는 것보다는 저녁에 세안후 피부결 정돈시키는 용으로 딱 좋은 것 같아요^^ 기름기를 좀 잡아주는 것도 있고. 한통은 다 써봐야 효능을 좀 더 확실히 파악할 수 있을듯! 가격대비 성분이 제법 훌륭합니다.",100점,2020.04.30
11,피부는 건조함만 없어도 탄력을 유지할수 있죠~ 저녁에 티비볼때 저는 두번정도 얼굴에 한두방울 떨어뜨려 흡수시켜요. 제형이 묽어서 쫀쫀한크림과 사용하기 좋아서 좋구요. 자극없는 묽은제형이라 부담이 없고 얼굴은 반질해지는 기분이네요~^^ 용기와 스포이드도 마음에 드네요ㅎ,100점,2020.05.10
12,3년전부터 이마.턱에만 날만 따뜻해지면 올라오는 엄청난 좁쌀.가끔 화농성여드름 때문에 어느분 글보고 저는 이제품 피지 억제효과때매 구매한건데 피지 확실히 잘잡아주네요. 거의 안올라와요. 그래서 올라오던 여드름도 아예 없는건 아니지만 좀 덜하긴 하네요. 근데 이제품은 도대체 유통기한이 어디 나와있나요? 별도표시라도 써있는데 별도표시된게 없네요ㅋㅋ,100점,2020.05.31
13,하핫 처음에는 이게 정확히 뭔가 했어요 세럼 겸 토너 에센스 같은 느낌! 세안 후에 이 제품부터 찹찹 발라주면 시원하면서 산뜻하고 깔끔한 느낌! 피부에 1차적으로 필요한 영양과 수분을 주는 느낌이라 좋습니다. 한달이상 꾸준히 써보면 좋을 것 같아요~ 자극없고 순해서 추천합니다^^,100점,2020.04.30
14,친구가 이거 바르고 블랙헤드 엄청 좋아졌다고 화장품 회사 다니는 엄마도 계속 쓰라하셧다구 강추해서 샀어요. 근데 향이 좀 산? 신? 냄새가 난다구해야하나 ㅜ 그리고 조금이라도 끈적한 타입을 못견뎌해서 두번 바르고 아직 다 못발랐어요. 근데 친구가 엄청 강추했으니 여러분도 함 써보시길... 싸게는 잘 산거같아요,80점,2020.05.31
15,워낙 리뷰가 많아 궁금했는데 드디어 사용해보네요^^ 피부자극이 있다는 얘기가 있어서 걱정 했는데 발랐을때 끈적이지 않고 흡수도 잘되서 꽤 만족합니다 특유의 화장품 냄새도 없어서 화장을 한다기 보다 치료한다는 느낌이 드네요 아직 일주일 밖에 안썼는데 모공케어랑 기름기 완화에 효과 있길 기대합니다,100점,2020.05.04
16,디오디너리 나이아신아마이드 는 안심할 수 있는 성분으로 이루어져서 그동안 썼던 제품들과 달리 피부에 안정을 주는것 같아요~!아무거나 싼거만 써서 그런거 같은데 이제 잘 따져보고 써야겠어요.피부장벽이 깨졌는지 매번 세안을하고 나면 트러블이나서 고생입니다.,100점,2020.05.06
17,주소지 잘못기재되서 그러께야 받았어요 제형은 쫀득한데 바를땐 잘 펴잘라지네요 흡수도 빠르구요 아직 이틀뿐 못써봐서 확 좋아지거나 그렇진 않은데 여름에 바르기 적합한것 같아요 악건성이라 바른후 약간 건조한것 같기도해요 열심히 써볼께요,100점,2020.05.06
18,신세계 상품 구입하면서 배송비 아까워 금액 마추려고 그냥 산거에요묶음배송으로 합포장으로 올줄알았더니 따로따로 와서 좀 미안해 지더라구요이게 얼굴을 얇게 코팅을 한다고 해야하나...그래서 자고 일어나서 보면 가끔씩 침자국처럼 하얗게 떠있는 부분이 있네요 띠리리리리리,100점,2021.02.01
19,하얀 반투명 점성이 에센스 같아요~레티놀 위에 발랐는데 향은 없고 부드럽게발리고 흡수가 바로 되네요~ 끈적임 없어요~성분 중 페녹시에탄올이 소량 들어있어 약간걱정이 되는데 목 쪽에 우선 사용해봅니다.촉촉해요~,80점,2020.05.09
